<s><s> 

Table:
The Voice,The Voice.1
,
Genre,Reality competition
Created by,John de Mol Jr. Directed by,Alan Carter[1]
Presented by,Carson Daly
Judges,Adam Levine CeeLo Green Christina Aguilera Blake Shelton Shakira Usher Gwen Stefani Pharrell Williams Miley Cyrus Alicia Keys Jennifer Hudson Kelly Clarkson John Legend Nick Jonas Ariana Grande Camila Cabello Chance the Rapper Niall Horan Reba McEntire Dan + Shay Michael Bublé Snoop Dogg Kelsea Ballerini
Composer,Martijn Schimmer
Country of origin,United States
Original language,English
No. of seasons,27
No. of episodes,641
Production,Production
Executive producers,John de Mol Jr. Mark Burnett Audrey Morrissey Stijn Bakkers Marc Jansen Jay Bienstock Lee Metzger[1]
Producers,Ashley Baumann Amanda Borden Carson Daly Keith Dinielli May Johnson Bart Kimball Michael Matsumoto David Offenheiser Dan Paschen Kyley Tucker Teddy Valenti[1]
Production locations,"Universal Studios Hollywood, Universal City, California"
Camera setup,Multi-camera
Running time,44–104 minutes
Production companies,Mark Burnett Productions (2011–2012) One Three Media (2012–2014) United Artists Media Group (2014-2016) MGM Television (2016–) Warner Horizon Unscripted Television (2011–) Talpa Media (2011–2019) ITV America (2020–)
Original release,Original release
Network,NBC Peacock
Release,"April 26, 2011 – present"
Related,Related
The Voice (franchise) La Voz,The Voice (franchise) La Voz
The Voice is an American singing reality competition television series that premiered on NBC on April 26, 2011. Based on the original The Voice of Holland and part of The Voice franchise, it has aired 26 seasons and aims to find unsigned singing talent (solo or duets, professional and amateur) contested by aspiring singers drawn from public auditions. Singers must be at least 13 years of age to compete. The winner is determined by television viewers voting by telephone, internet, SMS text, and iTunes Store purchases of the audio-recorded artists' vocal performances. They receive US$100,000 and a record deal with Universal Music Group for winning the competition.<s> The winner of The Voice US this year has not been announced yet, as this season is still ongoing. The winners of the twenty-six seasons have been: Javier Colon, Jermaine Paul, Cassadee Pope, Danielle Bradbery, Tessanne Chin, Josh Kaufman, Craig Wayne Boyd, Sawyer Fredericks, Jordan Smith, Alisan Porter, Sundance Head, Chris Blue, Chloe Kohanski, Brynn Cartelli, Chevel Shepherd, Maelyn Jarmon, Jake Hoot, Todd Tilghman, Carter Rubin, Cam Anthony, Girl Named Tom, Bryce Leatherwood, Gina Miles, Huntley, Asher HaVon, and Sofronio Vasquez. Notable contestants who did not win but went on to have success on the Billboard charts afterwards include Morgan Wallen, Melanie Martinez, Libianca, Christina Grimmie, Loren Allred, Nicolle Galyon, Koryn Hawthorne and Fousheé. The series employs a panel of four coaches who critique the artists' performances and guide their teams of selected artists through the remainder of the season. They also compete to ensure that their act wins the competition, thus making them the winning coach. The original panel featured Christina Aguilera, CeeLo Green, Adam Levine, and Blake Shelton; the panel for the current twenty-seventh season features Levine, John Legend, Michael Bublé and Kelsea Ballerini. Other coaches from previous seasons include Shakira, Usher, Gwen Stefani, Pharrell Williams, Miley Cyrus, Alicia Keys, Kelly Clarkson, Jennifer Hudson, Nick Jonas, Ariana Grande, Camila Cabello, Chance the Rapper, Ni
