<s><s> 

Table:
COVID-19 pandemic,COVID-19 pandemic.1
Medical professionals treating a COVID-19 patient in critical condition in an intensive care unit in São Paulo in May 2020,Medical professionals treating a COVID-19 patient in critical condition in an intensive care unit in São Paulo in May 2020
"Confirmed deaths per 100,000 population as of 20 December 2023","Confirmed deaths per 100,000 population as of 20 December 2023"
Cases per capita Cumulative percentage of population infected as of 19 March 2022  >10%  3–10%  1–3%  0.3–1%  0.1–0.3%  0.03–0.1%  0–0.03%  None or no data,Cases per capita Cumulative percentage of population infected as of 19 March 2022  >10%  3–10%  1–3%  0.3–1%  0.1–0.3%  0.03–0.1%  0–0.03%  None or no data
Cases per capita,Cases per capita
,
Cumulative percentage of population infected as of 19 March 2022  >10%  3–10%  1–3%  0.3–1%  0.1–0.3%  0.03–0.1%  0–0.03%  None or no data,Cumulative percentage of population infected as of 19 March 2022  >10%  3–10%  1–3%  0.3–1%  0.1–0.3%  0.03–0.1%  0–0.<s> The most recent outbreak declared as a public health emergency of international concern by WHO is Clade I mpox.03%  None or no data
Disease,Coronavirus disease 2019 (COVID-19)
Virus strain,Severe acute respiratory syndrome coronavirus 2 (SARS‑CoV‑2)
Source,Bats[1] (indirectly)[2]
Location,Worldwide
Index case,"Wuhan, China 30°37′11″N 114°15′28″E﻿ / ﻿30.61972°N 114.25778°E 1 December 2019 (5 years, 4 months, 1 week and 4 days ago)"
Dates,"Assessed by WHO as pandemic: 11 March 2020 (5 years and 1 month ago)[3] Public health emergency of international concern: 30 January 2020 – 5 May 2023 (3 years, 3 months and 5 days)[4]"
Confirmed cases,"775,866,783[5] (true case count is expected to be much higher)[6]"
Deaths,"7,057,132[5] (reported) 18.2–33.5 million[7] (estimated)"
Fatality rate,As of 10 March 2023: 1.02%[8]
The COVID-19 pandemic (also known as the coronavirus pandemic and COVID pandemic), caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), began with an outbreak of COVID-19 in Wuhan, China, in December 2019. Soon after, it spread to other areas of Asia, and then worldwide in early 2020. The World Health Organization (WHO) declared the outbreak a public health emergency of international concern (PHEIC) on 30 January 2020, and assessed the outbreak as having become a pandemic on 11 March. COVID-19 symptoms range from asymptomatic to deadly, but most commonly include fever, sore throat, nocturnal cough, and fatigue. The WHO has declared several outbreaks as public health emergencies of international concern in recent
