<s> There are 102 LA metro rail stations.<s><s> The Los Angeles Metro Rail is an urban rail transit system in Los Angeles County, California, operated by the Los Angeles County Metropolitan Transportation Authority (LACMTA or Metro). The system includes 102 metro stations with two rapid transit (known locally as a subway) and four light rail lines, covering 109 miles (175 km) of route service. In 2019, the Metro Rail system served an average 295,889 passengers each weekday, totaling 93.2 million passengers in the calendar year. Metro Rail is one of the largest rapid transit and light rail systems in the United States by ridership. The system is complemented by two Metro Busway bus rapid transit lines. == History ==
Metro Rail began service on July 14, 1990, when the light rail Blue Line opened between Pico and Anaheim Street stations; the line was extended to Downtown Long Beach and Pacific Avenue stations on September 1. The Blue Line was extended one stop northward from Pico to 7th Street/Metro Center on February 15, 1991. The next Metro Rail line, the rapid transit Red Line, opened on January 30, 1993, between Union Station and Westlake/​MacArthur Park station. The light rail Green Line, the system's third line, opened on August 12, 1995, from Norwalk to Redondo Beach stations. Metro Rail's next expansion occurred on May 22, 1996, when the Red Line expanded westward from Westlake/MacArthur Park to Wilshire/​Western stations. The Red Line expanded again on June 12, 1999, with a branch from Wilshire/​Vermont to Hollywood/Vine stations. The final section of the Red Line opened on June 24, 2000, from Hollywood/Vine station to North Hollywood station, completing the Red Line as originally planned. A fourth Metro Rail line, the light rail Gold Line, opened on July 27, 2003, between Union Station and Sierra Madre Villa station in Pasadena. The rapid transit Purple Line became the fifth Metro Rail line on August 24, 2006, when LACMTA separated the Red Line into two separate services; the branch between Union Station and Wilshire/Western station became the Purple Line while the branch between Union Station and North Hollywood station remained the Red Line. The Gold Line was later extended to Atlantic station in East Los Angeles on November 15, 2009. The light rail Expo Line opened between 7th Street/Metro Center and La Cienega/Jefferson on April 28, 2012; two additional stations opened on June 20, 2012. The Gold Line's second extension opened on March 5, 2016, and added six more stations from Sierra Madre Villa from to APU/Citrus College. An extension to the Expo Line on May 20, 2016, added seven stations. The opening of the K Line on October 7, 2022, added six stations. The Regional Connector project featured two new underground stations as well as a rebuilt Little Tokyo/Arts District station. Aviation/Century station opened on November 3, 2024. == System ==
The system has 102 stations serving its six lines. Thirteen of these stations are transfer stations, which allow passengers to transfer between lines. Eleven of these stations are termini—stations at the end of lines. 54 of the stations are within the city of Los Angeles and the other 48 stations are located in surrounding communities in Los Angeles County. === Lines ===
There are six Metro Rail lines, each of which is associated with a letter. Table:
Name,Stations,Termini,Opening,Newest extension,Length[20][21][1],Ridership (weekday)[2],Type,Former line name(s)
A Line,44,APU/Citrus College (north) Downtown Long Beach (south),1990[22],2023[23],48.5 miles (78.1 km),69216,Light rail,Blue Line  Gold Line  L Line
B Line,14,North Hollywood (north) Union Station (south),1993[22],2000[22],14.7 miles (23.7 km),"64,729[A]",Rapid transit,Red Line
C Line,11,Aviation/Century (west) Norwalk (east),1995[22],2024[19],19.3 miles (31.1 km),21902,Light rail,Green Line
D Line,8,Wilshire/​Western (west)  Union Station (east),1993[22][B],1996[22][C],5.1 miles (8.2 km),"64,729[A]",Rapid transit,Red Line  Purple Line
E Line,29,Downtown Santa Monica (west) Atlantic (east),2012[22][D],2023[23],22 miles (35 km),48913,Light rail,Gold Line  Expo Line  L Line
K Line,12,Expo/Crenshaw Aviation/Century (north) Westchester/​Veterans Redondo Beach (south),2022[25],2024[19],5.9 miles (9.5 km),3136,Light rail,—



== List of stations ==
For stations served by more than one line, lines are listed in the order of opening. Table:
Station,Image,Line(s),Location[26][27],Date opened[28],Wkdy. Boardings[29],Ref(s). 1st Street,,A Line,Long Beach,"September 1, 1990",279,[30]
5th Street,,A Line,Long Beach,"September 1, 1990",351,[30]
7th Street/Metro Center*,,A Line  B Line  D Line  E Line,Los Angeles (Financial District),"February 15, 1991",22722,[30] [31] [32] [33]
17th Street/SMC,,E Line,Santa Monica,"May 20, 2016",1430,[17]
26th Street/Bergamot,,E Line,Santa Monica,"May 20, 2016",972,[17]
103rd Street/Watts Towers,,A Line,Los Angeles (Watts),"July 14, 1990",1769,[30]
Allen,,A Line,Pasadena,"July 27, 2003",682,[34]
Anaheim Street,,A Line,Long Beach,"July 14, 1990",1721,[30]
APU/Citrus College**,,A Line,Azusa,"March 5, 2016",1539,[35]
Arcadia,,A Line,Arcadia,"March 5, 2016",847,[35]
Artesia,,A Line,Compton,"July 14, 1990",1554,[30]
Atlantic**,,E Line,East Los Angeles,"November 15, 2009",1640,[34]
Avalon,,C Line,Los Angeles (South Los Angeles),"August 12, 1995",1143,[36]
Aviation/Century†,,C Line  K Line,Los Angeles (Westchester),"November 3, 2024",–,[19]
Aviation/LAX,,C Line,Los Angeles (Westchester),"August 12, 1995",2335,[36]
Azusa Downtown,,A Line,Azusa,"March 5, 2016",970,[35]
Chinatown,,A Line,Los Angeles (Chinatown),"July 27, 2003",1066,[34]
Civic Center/Grand Park*,,B Line  D Line,Los Angeles (Civic Center),"January 30, 1993",2364,[31] [32]
Compton,,A Line,Compton,"July 14, 1990",2009,[30]
Crenshaw,,C Line,Hawthorne,"August 12, 1995",1364,[36]
Culver City,,E Line,Culver City,"June 20, 2012",1849,[33]
Del Amo,,A Line,Rancho Dominguez,"July 14, 1990",1324,[30]
Del Mar,,A Line,Pasadena,"July 27, 2003",966,[34]
Douglas,,K Line,El Segundo,"August 12, 1995",312,[36]
Downtown Inglewood,,K Line,Inglewood,"October 7, 2022",355,[37]
