<s><s> 

Table:
2024 Wimbledon Championships,2024 Wimbledon Championships.1,Unnamed: 2
,,
Date,1–14 July 2024,
Edition,137th,
Category,Grand Slam (ITF),
Draw,128S / 64D / 32XD,
Prize money,"£50,000,000",
Surface,Grass,
Location,"Church Road SW19, Wimbledon, London, England",
Venue,All England Lawn Tennis and Croquet Club,
Champions,Champions,
Men's singles,Men's singles,
Carlos Alcaraz,Carlos Alcaraz,
Women's singles,Women's singles,
Barbora Krejčíková,Barbora Krejčíková,
Men's doubles,Men's doubles,
Harri Heliövaara / Henry Patten,Harri Heliövaara / Henry Patten,
Women's doubles,Women's doubles,
Kateřina Siniaková / Taylor Townsend,Kateřina Siniaková / Taylor Townsend,
Mixed doubles,Mixed doubles,
Jan Zieliński / Hsieh Su-wei,Jan Zieliński / Hsieh Su-wei,
Wheelchair men's singles,Wheelchair men's singles,
Alfie Hewett,Alfie Hewett,
Wheelchair women's singles,Wheelchair women's singles,
Diede de Groot,Diede de Groot,
Wheelchair quad singles,Wheelchair quad singles,
Niels Vink,Niels Vink,
Wheelchair men's doubles,Wheelchair men's doubles,
Alfie Hewett / Gordon Reid,Alfie Hewett / Gordon Reid,
Wheelchair women's doubles,Wheelchair women's doubles,
Yui Kamiji / Kgothatso Montjane,Yui Kamiji / Kgothatso Montjane,
Wheelchair quad doubles,Wheelchair quad doubles,
Sam Schröder / Niels Vink,Sam Schröder / Niels Vink,
Boys' singles,Boys' singles,
Nicolai Budkov Kjær,Nicolai Budkov Kjær,
Girls' singles,Girls' singles,
Renáta Jamrichová,Renáta Jamrichová,
Boys' doubles,Boys' doubles,
Alexander Razeghi / Max Schönhaus,Alexander Razeghi / Max Schönhaus,
Girls' doubles,Girls' doubles,
Tyra Caterina Grant / Iva Jovic Boys' 14&U singles  Takahiro Kawaguchi Girls' 14&U singles  Jana Kovačková,Tyra Caterina Grant / Iva Jovic Boys' 14&U singles  Takahiro Kawaguchi Girls' 14&U singles  Jana Kovačková,
Gentlemen's invitation doubles,Gentlemen's invitation doubles,
Bob Bryan / Mike Bryan,Bob Bryan / Mike Bryan,
Ladies' invitation doubles,Ladies' invitation doubles,
Kim Clijsters / Martina Hingis,Kim Clijsters / Martina Hingis,
Mixed invitation doubles,Mixed invitation doubles,
Mark Woodforde / Dominika Cibulková,Mark Woodforde / Dominika Cibulková,
← 2023 · Wimbledon Championships · 2025 →,← 2023 · Wimbledon Championships · 2025 →,
← 2023 ·,Wimbledon Championships,· 2025 →
The 2024 Wimbledon Championships was a Grand Slam tennis tournament that took place at the All England Lawn Tennis and Croquet Club in Wimbledon, London, England, comprising singles, doubles and mixed doubles play. Junior, wheelchair and Invitational tournaments were also scheduled. It was the 137th edition of the Wimbledon Championships and the third Grand Slam event of 2024. The gentlemen's singles<s> Jannik Sinner won the biggest single-tournament payday in tennis history.
