<s><s> 

Table:
Kendrick Lamar,Kendrick Lamar.1
Lamar at the 2018 Pulitzer Prize ceremony,Lamar at the 2018 Pulitzer Prize ceremony
Born,"Kendrick Lamar Duckworth June 17, 1987 (age 37) Compton, California, U.S."
Other names,K.Dot
Occupations,Rapper songwriter record producer
Years active,2003–present
Organization,PGLang
Works,Albums[a] singles songs videos performances
Partner,Whitney Alford (eng. 2015)
Children,2
Relatives,Baby Keem (cousin) Nick Young (cousin)
Awards,Full list
Musical career,Musical career
Genres,West Coast hip hop progressive rap alternative rap jazz rap conscious hip hop trap
Instruments,Vocals
Labels,Interscope Top Dawg Aftermath PGLang
Formerly of,Black Hippy
Website,oklama.com
,
Signature,Signature
,
Kendrick Lamar Duckworth (born June 17, 1987) is an American rapper. Regarded as one of the greatest rappers of all time, he was awarded the 2018 Pulitzer Prize for Music, becoming the first musician outside of the classical and jazz genres to receive the honor. Born in Compton, California, Lamar began releasing music under the stage name K.Dot while attending high school. He signed with Top Dawg Entertainment (TDE) in 2005, and co-founded the hip hop supergroup Black Hippy there. Following the 2011 release of his alternative rap debut album Section.80, Lamar secured a joint contract with Dr. Dre's Aftermath Entertainment and Interscope Records. He rose to prominence with his gangsta rap-influenced second album Good Kid, M.A.A.D City (2012), which became the longest-charting hip hop studio album in Billboard 200 history; Rolling Stone named it the greatest concept album of all time. In 2015, Lamar scored his first Billboard Hot 100 number-one single, after featuring on the remix of Taylor Swift's "Bad Blood", and released his third album, To Pimp a Butterfly, which infused hip-hop with historical African-American music genres such as jazz, funk, and soul, and became his first of six consecutive number-one albums on the Billboard 200 chart. Lamar's critical and commercial success continued with his R&B and pop-leaning fourth album Damn (2017), yielding his second US number-one single, "Humble". He curated original songs for the soundtrack of the 2018 film Black Panther, earning a nomination for the Academy Award for Best Original Song for the US top-ten single "All the Stars". His fifth album Mr. Morale & the Big Steppers (2022) which was released as a  double album, concluded his tenure with TDE and Aftermath.<s> Kendrick Lamar released his most recent studio album on November 22, 2024. His 2024 feud with Drake and his sixth album GNX (2024) spawned the US number-ones "Like That", "Not Like Us", "Squabble Up" and "Luther" with the second of the four winning a joint-record five Grammy Awards, including Song of the Year and Record of the Year. Lamar has received various accolades, including 22 Grammy Awards (the third-most won by a rapper), a Primetime Emmy Award, a Brit Award, 4 American Music Awards, 7 Billboard Music Awards, 11 MTV Video Music Awards (including 2 Video of the Year wins), and a record 37 BET Hip Hop Awards. Time listed him as one of the 100 most influential people in the world in 2016. Three of his works were included in Rolling Stone's 2020 revision of the 500 Greatest Albums of All Time. His Super Bowl LIX halftime show broke viewership records, with 133.5 million viewers domestically. Outside of music, Lamar co-founded the creative company PGLang and ventured into film with his longtime creative partner, Dave Free. == Early life ==
Kendrick Lamar Duckworth was born on June 17,
