<s><s> 

Table:
Lollapalooza,Lollapalooza.1
,
Miley Cyrus during the Attention Tour at Lollapalooza Brasil 2022,Miley Cyrus during the Attention Tour at Lollapalooza Brasil 2022
Genre,Alternative rockpunk rockheavy metalpophip hopelectronicsoul
Frequency,Annually
Location(s),"Grant Park, Chicago (2005–2019, 2020 (digital), 2021–present) Touring (1991–1997, 2003)O'Higgins Park, Santiago (2011–2019)Bicentennial Park, Cerillos (2022-present)[1]Hoppegarten Hippodrome, Hoppegarten (2017)Hipódromo de Cidade Jardim, São Paulo (2012–13)Autódromo José Carlos Pace, São Paulo (2014–2019, 2022–present)Hipódromo de San Isidro, Buenos Aires (2014–2019, 2022–present)Flughafen Berlin-Tempelhof, Berlin (2015)Treptower Park, Berlin (2016)Olympiapark, Berlin (2018–2019, 2022–present)Hippodrome de Longchamp, Paris (2017–2019, 2022–present)Gärdet, Stockholm (2019, 2022–present)Mahalaxmi Racecourse, Mumbai (2023–present)"
Years active,"1991–1997, 2003, 2005–2019, 2021–present"
Inaugurated,"July 18, 1991; 33 years ago"
Founders,Perry Farrell
Most recent,"July 16–17, 2022 (Paris)August 3–6, 2023 (Chicago)September 9–10, 2023 (Berlin)January 28–29, 2023 (Mumbai)March 17–19, 2023 (Buenos Aires)March 17–19, 2023 (Santiago)March 24–26, 2023 (São Paulo)June 29 – July 1, 2023 (Gärdet)"
Attendance,"400,000[2]"
Capacity,"115,000[3]"
Website,lollapalooza.com
Lollapalooza () is an annual American four-day music festival held in Grant Park in Chicago. It originally started as a touring event in 1991, with Chicago becoming its permanent location beginning in 2005. Music genres include alternative rock, heavy metal, punk rock, hip hop, and electronic dance music. Lollapalooza has also featured visual arts, nonprofit organizations, and political organizations. The festival hosts an estimated 400,000 people each July and sells out annually. Lollapalooza is one of the largest music festivals in the world and one of the longest-running in the United States. Lollapalooza was conceived and created in 1991 as a farewell tour by Perry Farrell, singer of the group Jane's Addiction. The first Lollapalooza tour had a diverse collection of bands and was a commercial success. It stopped in more than twenty cities in North America. In 2020, Spin rated the first Lollapalooza as the best concert of the preceding 35 years. Lollapalooza then ran annually until 1997, and was revived in 2003. From its inception through 1997 and its revival in 2003, the festival toured North America. In 2004, the organizers expanded the dates to two days per city but canceled the tour after poor ticket sales. In 20<s> This year's Coachella festival dates are April 11–13 and April 18–20.
