<s> This year's Super Bowl is being broadcast by Fox and will also be available to stream on Tubi.<s><s> The following is a list of Super Bowl broadcasters, encompassing all national American television and radio networks, as well as sports announcers who have covered the first four AFL-NFL World Championship Games and subsequent championship games of the National Football League. It excludes announcers who may have appeared on local radio broadcasts produced by participating teams' flagship stations. Super Bowl I stands out as the only Super Bowl simultaneously broadcast in the U.S. by two different networks. At the time, NBC held the rights to nationally televise AFL games, while CBS had the rights for NFL games. Both networks covered the game using their own announcers, but NBC could only use the CBS feed instead of producing its own. Starting with Super Bowl II, NBC televised even years, and CBS odd years. This rotation continued until the 1970 AFL–NFL merger, when NBC gained the rights to televise AFC games, and CBS to broadcast NFC games. Despite ABC broadcasting Monday Night Football in 1970, it joined the Super Bowl rotation only from Super Bowl XIX, in January 1985. ABC, CBS, and NBC then continued to rotate the Super Bowl until 1994, when Fox replaced CBS as the NFC broadcaster. CBS then assumed NBC's place in the rotation after CBS replaced NBC as the AFC broadcaster in 1998. Due to new contracts signed in 2006, NBC took over Sunday Night Football from ESPN, took ABC's place in the Super Bowl rotation, and Monday Night Football moved from ABC to ESPN. It continued until new contracts took effect in 2024, allowing not only ABC to return and initiate a four-network rotation but also ESPN to air their first two Super Bowls. The four-year rotation starting with Super Bowl LVIII also allows each broadcaster to offer simulcasts or alternative broadcasts on its sister networks and platforms. CBS's sister network Nickelodeon aired  an alternate children-oriented telecast of Super Bowl LVIII. ABC's rights include ESPN simulcasts and alternative broadcasts on other ESPN networks. The NFL broke the traditional broadcasting rotation at least twice, both times involving NBC, CBS, and Winter Olympics. NBC originally had broadcasting rights for Super Bowl XXVI, and CBS for Super Bowl XXVII. However, the NFL allowed the networks to switch the two games to provide CBS with a significant lead-in to its coverage of the 1992 Winter Olympics. Similarly, NBC was set to air Super Bowl LV and CBS Super Bowl LVI, but the networks agreed to swap the broadcasting rights. Therefore, CBS benefited from holding rights to the Super Bowl and the 2021 NCAA Final Four, while NBC paired its Super Bowl coverage with the 2022 Winter Olympics. Under the four-network rotation starting in 2024, the league awarded NBC or any network that airs the Winter Olympics the Super Bowl during Winter Olympic years. CBS has televised the most Super Bowl games, with Super Bowl LV being its 21st, and it just completed the broadcast of its 22nd with Super Bowl LVIII in February 2024. == Television ==


=== English language ==

Table:
Game,Game Date,Network,Play-by-play announcer,Color commentator(s),Sideline reporter(s),Rules expert(s),Pregame host(s),Pregame analyst(s),Trophy presentation,Notes
I,"January 15, 1967",CBS,Ray Scott (first half) Jack Whitaker (second half),Frank Gifford,Pat Summerall,Established for Super Bowl XLV,—,—,Pat Summerall,1.0
I,"January 15, 1967",NBC,Curt Gowdy,Paul Christman,Charlie Jones,Established for Super Bowl XLV,Curt Gowdy,"Johnny Unitas, Norm Van Brocklin, Jack Kemp, Lance Alworth, Don Meredith, and Johnny Sample",George Ratterman,1.0
II,"January 14, 1968",CBS,Ray Scott,Pat Summerall and Jack Kemp,Frank Gifford and Jack Whitaker,Established for Super Bowl XLV,—,—,Frank Gifford,
III,"January 12, 1969",NBC,Curt Gowdy,Kyle Rote and Al DeRogatis,Jim Simpson,Established for Super Bowl XLV,Curt Gowdy,"Kyle Rote, Al DeRogatis, and Pat Summerall",Kyle Rote,
IV,"January 11, 1970",CBS,Jack Buck,Pat Summerall,Frank Gifford and Jack Whitaker,Established for Super Bowl XLV,—,—,Frank Gifford,
V,"January 17, 1971",NBC,Curt Gowdy,Kyle Rote,Bill Enis,Established for Super Bowl XLV,Curt Gowdy,Joe Namath,Kyle Rote,
VI,"January 16, 1972",CBS,Ray Scott,Pat Summerall,Tom Brookshier,Established for Super Bowl XLV,Jack Whitaker,—,Tom Brookshier,
VII,"January 14, 1973",NBC,Curt Gowdy,Al DeRogatis,Bill Enis,Established for Super Bowl XLV,Curt Gowdy,Joe Namath,Bill Enis,
VIII,"January 13, 1974",CBS,Ray Scott,Pat Summerall and Bart Starr,Tom Brookshier,Established for Super Bowl XLV,Jack Whitaker,—,Tom Brookshier,
IX,"January 12, 1975",NBC,Curt Gowdy,Al DeRogatis and Don Meredith,Charlie Jones,Established for Super Bowl XLV,Jack Perkins,Joe Namath and Don Meredith,Charlie Jones,
X,"January 18, 1976",CBS,Pat Summerall,Tom Brookshier Hank Stram (fourth quarter),—,Established for Super Bowl XLV,Brent Musburger,"Irv Cross, Phyllis George, and Jack Whitaker",Tom Brookshier and Sonny Jurgensen,
XI,"January 9, 1977",NBC,Curt Gowdy,Don Meredith,—,Established for Super Bowl XLV,Lee Leonard and Bryant Gumbel,John Brodie,Bryant Gumbel,
XII,"January 15, 1978",CBS,Pat Summerall,Tom Brookshier,Paul Hornung and Nick Buoniconti,Established for Super Bowl XLV,Brent Musburger,"Irv Cross, Phyllis George, and Jimmy ""The Greek"" Snyder",Gary Bender,
