<s><s> 

Table:
Grammy Award for Best Rock Album,Grammy Award for Best Rock Album.1
Hackney Diamonds by the Rolling Stones is the most recent recipient.,Hackney Diamonds by the Rolling Stones is the most recent recipient. Awarded for,Quality albums in the rock music genre
Country,United States
Presented by,The Recording Academy
First award,1995
Currently held by,The Rolling Stones – Hackney Diamonds (2025)
Website,www.grammy.com
The Grammy Award for Best Rock Album is an award presented at the Grammy Awards, a ceremony that was established in 1958 and originally called the Gramophone Awards, to recording artists for quality albums in the rock music genre. Honors in several categories are presented at the ceremony annually by The Recording Academy of the United States to "honor artistic achievement, technical proficiency and overall excellence in the recording industry, without regard to album sales or chart position". The award for Best Rock Album was first presented to the band the Rolling Stones in 1995, and the name of the category has remained unchanged since then. According to the category description guide for the 52nd Grammy Awards, the award is presented to "vocal or instrumental rock, hard rock or metal albums containing at least 51% playing time of newly recorded material". The award goes to the artist, producer and engineer/mixer, provided they were responsible for more than 50 percent of playing time on the album. The lead performing artist is the only one who receives an official nomination. Producers and/or engineers/mixers who are responsible for less than 50 percent, as well as the mastering engineer, can apply for a Winners Certificate. Before 2001, only the performing artist received an award. The band Foo Fighters currently holds the records for both wins and nominations in this award, with five wins and eight nominations overall. Foo Fighters are also the only three-time, four-time, and five-time winners of the award. In the 2000s, the group famously won the award twice in the span of four years, with their albums There is Nothing Left to Lose in 2001 and One by One in 2004. Two-time winners include Sheryl Crow, Green Day, U2, Cage the Elephant, and Muse. Neil Young holds the record for most nominations without a win, with seven. To date, only three women, Sheryl Crow, Alanis Morissette and Hayley Williams of Paramore have won the award. == Recipients ==

Table:
Year[I],Winners,Work,Nominees,Ref. 1995,The Rolling Stones,Voodoo Lounge,Pearl Jam – Vs. R.E.M. – Monster Soundgarden – Superunknown Neil Young and Crazy Horse – Sleeps with Angels,[5]
1996,Alanis Morissette,Jagged Little Pill,Chris Isaak – Forever Blue Pearl Jam – Vitalogy Tom Petty – Wildflowers Neil Young – Mirror Ball,[6]
1997,Sheryl Crow,Sheryl Crow,Dave Matthews Band – Crash No Doubt – Tragic Kingdom Bonnie Raitt – Road Tested Neil Young and Crazy Horse – Broken Arrow,[7]
1998,John Fogerty,Blue Moon Swamp,Aerosmith – Nine Lives Foo Fighters – The Colour and the Shape The Rolling Stones – Bridges to Babylon U2 – Pop,[8]
1999,Sheryl Crow,The Globe Sessions,Dave Matthews Band – Before These Crowded Streets John Fogerty – Premonition Garbage – Version 2.0 Hole – Celebrity Skin,[9]
2000,Santana,Supernatural,Melissa Etheridge – Breakdown Limp Bizkit – Significant Other Red Hot Chili Peppers – Californication Tom Petty and the Heartbreakers – Echo,[10]
2001,Foo Fighters Adam Kasper & Foo Fighters (producers) Adam K asper (engineer/mixer),There Is Nothing Left to Lose,Bon Jovi – Crush Matchbox Twenty – Mad Season No Doubt – Return of Saturn Rage Against the Machine – The Battle of Los Angeles,[11]
2002,U2 Brian Eno & Daniel Lanois (producers),All That You Can't Leave Behind,"Ryan Adams – Gold Aerosmith – Just Push Play PJ Harvey – Stories from the City, Stories from the Sea Linkin Park – Hybrid Theory",[12]
2003,Bruce Springsteen Brendan O'Brien (producer) Brendan O'Brien & Nick Didia (engineers/mixers),The Rising,"Elvis Costello – When I Was Cruel Sheryl Crow – C'mon, C'mon Robert Plant – Dreamland Tonic – Head on Straight",[13]
2004,"Foo Fighters David Grohl, Taylor Hawkins, Nate Mendel, Nick Raskulinecz & Chris Shiflett (producers) Jim Scott (engineer/mixer)",One by One,Audioslave – Audioslave Evanescence – Fallen Matchbox Twenty – More Than You Think You Are Nickelback – The Long Road,[14]
2005,Green Day Rob Cavallo & Green Day (producers) Chris Lord-Alge & Doug McKean (engineers/mixers),American Idiot,Elvis Costello and the Imposters – The Delivery Man Hoobastank – The Reason The Killers – Hot Fuss Velvet Revolver – Contraband,[15]
2006,U2 Steve Lillywhite (producer),How to Dismantle an Atomic Bomb,Coldplay – X&Y Foo Fighters – In Your Honor The Rolling Stones – A Bigger Bang Neil Young – Prairie Wind,[16]
