<s><s> After acceding to the thrones of the Commonwealth realms in 1952, Queen Elizabeth II received a total of 113 state visits. She usually hosted one or two visiting heads of state each year. According to the palace, any visit that does not include a state banquet held by the Queen is not considered a state visit, except for the Papal visit in September 2010 which was specifically designated a state visit by the British government despite the missing of a state banquet. == List of visits ==

Table:
No.,Date,Country,Regime,Guests,Venue for state banquet
1950s,1950s,1950s,1950s,1950s,1950s
1,28 June – 1 July 1954,Sweden,Monarchy,King Gustaf VI Adolf Queen Louise,Buckingham Palace
2,14–16 October 1954,Ethiopia,Monarchy,Emperor Haile Salassie I,Buckingham Palace
3,25–28 October 1955,Portugal,Republic,President Francisco Craveiro Lopes First Lady Berta Ribeiro Artur,Buckingham Palace
4,16–19 July 1956,Iraq,Monarchy,King Faisal II,Buckingham Palace
5,13–16 May 1958,Italy,Republic,President Giovanni Gronchi Mme Carla Gronchi,Buckingham Palace
6,21–23 October 1958,West Germany,Republic,President Theodor Heuss,Buckingham Palace
7,5–8 May 1959,Iran,Monarchy,Shah Mohammad Reza Pahlavi,Buckingham Palace
1960s,1960s,1960s,1960s,1960s,1960s
8,5–8 April 1960,France,Republic,President Charles de Gaulle Mme Yvonne de Gaulle,Buckingham Palace
9,19–21 July 1960,Thailand,Monarchy,King Bhumibol Adulyadej Queen Sirikit,Buckingham Palace
10,17–20 October 1960,Nepal,Monarchy,King Mahendra Queen Ratna,Buckingham Palace
11,10–13 July 1962,Liberia,Republic,President William Tubman First Lady Antoinette Tubman,Buckingham Palace
12,16–19 October 1962,Norway,Monarchy,King Olav V,Holyrood Palace[b]
13,14–17 May 1963,Belgium,Monarchy,King Baudouin I Queen Fabiola,Buckingham Palace
14,12–23 June 1963,India,Republic,President Sarvepalli Radhakrishnan[3],Buckingham Palace
15,9–12 July 1963,Greece,Monarchy,King Paul I Queen Frederika,Buckingham Palace
16,26 May – 4 June 1964,Sudan,Republic,President Ibrahim Abboud[4][5],Buckingham Palace
17,13–17 July 1965,Chile,Republic,President Eduardo Frei Montalva First Lady María Ruiz-Tagle Jiménez,Buckingham Palace
18,17–21 May 1966,Austria,Republic,President Franz Jonas First Lady Margarete Jonas,Buckingham Palace
19,19–28 July 1966,Jordan,Monarchy,King Hussein I Princess Muna al-Hussein,Buckingham Palace
20,17–25 November 1966,Pakistan,Republic,President Ayub Khan[3],Buckingham Palace
21,9–17 May 1967,Saudi Arabia,Monarchy,King Faisal,Buckingham Palace
22,1–8 November 1967,Turkey,Republic,<s> The guest of honor at the most recent state dinner hosted by the President of the United States was William Ruto.
