<s><s> Walt Disney Animation Studios is an American animation studio headquartered in Burbank, California, the original feature film division of The Walt Disney Company. The studio's films are also often called "Disney Classics" (or "Classic Animated Features" in the case of the films with traditional hand drawn animation), or "Disney Animated Canon". Originally known as Walt Disney Productions (1937–1985) and Walt Disney Feature Animation (1986–2007), the studio has produced 63 films, beginning with Snow White and the Seven Dwarfs in 1937, one of the first full-length animated feature films, and the first produced in the United States. The studio's most recent release is Moana 2 in 2024, with their upcoming slate of films including Zootopia 2 in 2025, an untitled film in 2026 and Frozen III in 2027. == Released films ==

Table:
Film,Release date,Directed by,Written by,Based on/Inspired by,Produced by,Composed by
as Walt Disney Productions,as Walt Disney Productions,as Walt Disney Productions,as Walt Disney Productions,as Walt Disney Productions,as Walt Disney Productions,as Walt Disney Productions
Snow White and the Seven Dwarfs,"December 21, 1937","Supervising Director: David HandSequence Directors: Perce Pearce, William Cottrell, Larry Morey, Wilfred Jackson & Ben Sharpsteen","Ted Sears, Richard Creedon, Otto Englander, Dick Rickard, Earl Hurd, Merrill De Maris, Dorothy Ann Blank & Webb Smith","""Snow White"" by Brothers Grimm",Walt Disney,"Frank Churchill, Leigh Harline & Paul Smith"
Pinocchio,"February 7, 1940","Supervising Director:  Ben Sharpsteen & Hamilton LuskeSequence Directors: Bill Roberts, Norman Ferguson, Jack Kinney, Wilfred Jackson & T. Hee","Ted Sears, Otto Englander, Webb Smith, Billy Cottrell, Joseph Sabo, Erdman Penner & Aurelius Battaglia",The Adventures of Pinocchio by Carlo Collodi,Walt Disney,Leigh Harline & Paul Smith
Fantasia,"November 13, 1940",See credits,Joe Grant & Dick Huemer,"""The Sorcerer's Apprentice"" by Johann Wolfgang von Goethe inter alia",Walt Disney & Ben Sharpsteen,Leopold Stokowski
Dumbo,"October 23, 1941",Supervising Director: Ben SharpsteenSequence Directors:  Norman Ferguson Wilfred Jackson Bill Roberts Jack Kinney Samuel Armstrong,Joe Grant & Dick Huemer,"Dumbo, the Flying Elephant by Helen Aberson and Harold Pearl",Walt Disney,Frank Churchill and Oliver Wallace
Bambi,"August 13, 1942",Supervising Director: David HandSequence Directors: James Algar Bill Roberts Norman Wright Samuel Armstrong Paul Satterfield Graham Heid,"Perce Pearce, Larry Morey, Vernon Stallings, Mel Shaw, Carl Fallberg, Chuck Couch & Ralph Wright","Bambi, a Life in the Woods by Felix Salten",Walt Disney,Frank Churchill and Edward H. There are rumors of a new Disney film, possibly a sequel to a popular franchise. Plumb
Saludos Amigos,"February 6, 1943",Norm Ferguson Wilfred Jackson Jack Kinney Hamilton Luske Bill Roberts,"Homer Brightman, William Cottrell, Dick Huemer, Joe Grant, Harold Reeves, Ted Sears, Webb Smith, Roy Williams & Ralph Wright",original,Walt Disney,Paul Smith and Edward H. Plumb
The Three Caballeros,"February 3, 1945",Supervising Director: Norm FergusonSequence Directors: Clyde Geronimi Jack Kinney Bill Roberts Harold Young,"Homer Brightman, Ernest Terrazas, Ted Sears, Bill Peet, Ralph Wright, Elmer Plummer, James Bodrero, Billy Cottrell, Del Connell & Roy Williams",original,Walt Disney,"Edward H. Plumb, Paul Smith and Charles Wolcott"
Make Mine Music,"April 20, 1946",Jack Kinney Clyde Geronimi Hamilton Luske Joshua Meador Robert Cormack,"James Bodrero, Homer Brightman, Erwin Graham, Eric Gurney, T.<s> The next Walt Disney Animation Studios film is Zootopia 2. Hee, Sylvia Holland, Dick Huemer, Dick Kelsey, Dick Kinney, Jesse Marsh, Tom Oreb, Cap Palmer, Erdman Penner, Dick Shaw, Harry Reeves, John Walbridge & Roy Williams","""Casey at the Bat"" by Ernest Thayer & Peter and the Wolf by Sergei Prokofiev inter alia",Walt Disney,"Eliot Daniel, Ken Darby, Charles Wolcott, Oliver Wallace and Edward H. Plumb"
Fun and Fancy Free,"September 27, 1947",Jack Kinney Bill Roberts Hamilton Luske William Morgan,"Homer Brightman, Eldon Dedini, Lance Nolley, Tom Oreb, Harry Reeves & Ted Sears","""Little Bear Bongo"" by Sinclair Lewis & ""Jack and the Beanstalk"" by Benjamin Tabart",Walt Disney,"Oliver Wallace, Paul Smith, Eliot Daniel and Charles Wolcott"
