<s><s> 

Table:
List of English football champions,List of English football champions.1
Football League (1888–1892),Football League (1888–1892)
Football League First Division (1892-1992),Football League First Division (1892-1992)
Premier League (1992-present),Premier League (1992-present)
Leicester City celebrate winning the 2015–16 Premier League,Leicester City celebrate winning the 2015–16 Premier League
Country,Country
England,England
Founded,Founded
1888,1888
Number of teams,Number of teams
24 winners,24 winners
Current champions,Current champions
Manchester City (2023–24),Manchester City (2023–24)
Most successful club,Most successful club
Manchester United (20 championships),Manchester United (20 championships)
The English football champions are the winners of the top-level league in English men's football, which since the 1992–93 season has been called the Premier League. Following the codification of professional football by the Football Association in 1885, the Football League was established in 1888, after meetings initiated by Aston Villa director William McGregor. At the end of the 1888–89 season, Preston North End were the first club to be crowned champions after completing their fixtures unbeaten. The league's early years were dominated by teams from the North and Midlands, where professionalism had been embraced more readily than in the South of England. It was teams such as Preston North End, Aston Villa and Sunderland that held the league title in monopoly. Its status as the country's pre-eminent league was strengthened in 1892, when the rival Football Alliance was absorbed into the Football League. Former Alliance clubs comprised the bulk of a new Second Division, from which promotion to the top level could be gained. It was not until 1931 that a Southern club were crowned champions, when Herbert Chapman's Arsenal secured the title. Rules stipulating a maximum wage for players were abolished in 1961. This resulted in a shift of power towards bigger clubs with more financial means. Financial considerations became an even bigger influence from 1992, when the teams then in the First Division defected to form the FA Premier League. This supplanted the Football League First Division as the highest level of football in England, and due to a series of progressively larger television contracts, put unprecedented wealth into the hands of top flight clubs. The first five champions in the Premier League era – Arsenal, Blackburn Rovers, Chelsea, Manchester City and Manchester United – had all won the title at least once prior to 1992. Leicester City were champions for the first time in 2016, becoming the first team to win the Premier League without having previously won the First Division. Other than inaugural league champions Preston North End, Ipswich Town remain the only club to win the top flight division at their first attempt in the 1961–62 season. All the clubs which have ever been champions are still in existence today and all take part in the top three tiers of the English football league system, with only one (Huddersfield Town) outside the top two. Sheffield Wednesday are the only club who have ever changed their name after winning a league title, having been known as The Wednesday for the first three of their four titles. The name change took place in 1929. Manchester United have won twenty titles (both English First Division and Premier League titles), the most of any club. United's rivals Liverpool are second with nineteen. Liverpool dominated during the 1970s and 1980s (winning eleven league titles between 1973 and 1990), while Manchester United dominated in the 1990s and 2000s under manager Alex Ferguson (eleven league titles between 1993 and 2009). Arsenal are third with thirteen titles, having dominated during the 1930s (five league titles between 1931 and 1938). Manchester City are fourth with ten titles, of which eight have been won in the 2010s and 2020s. Everton are fifth with nine titles. Aston Villa (seven) and Sunderland (six) secured the majority of their titles before the 1920s. Chelsea (six) won the majority of their titles in the 21st century (between 2005 and 2017). Manchester City became the first men's team to win the league title in four consecutive seasons in 2024. 24 clubs have won the top level title in English football. All figures are correct as of the end of the 2023–24 season. == List of champions ==

Table:
Ed.,Season,Champions (number of titles),Runners-up,Third place,Winning manager,Unnamed: 6_level_0,Unnamed: 7_level_0
Football League (1888–1892),Football League (1888–1892),Football League (1888–1892),Football League (1888–1892),Football League (1888–1892),Football League (1888–1892),Football League (1888–1892),Football League (1888–1892)
1,1888–89,Preston North End[a][b] (1),Aston Villa,Wolverhampton Wanderers,William Sudell (secretary manager),,
2,1889–90,Preston North End (2),Everton,Blackburn Rovers,William Sudell (secretary manager),,
3,1890–91,Everton (1),Preston North End,Notts County,Dick Molyneux (secretary manager),,
4,1891–92,Sunderland (1),Preston North End,Bolton Wanderers,Tom Watson,,
Football League First Division (1892–1992),Football League First Division (1892–1992),Football League First Division (1892–1992),Football League First Division (1892–1992),Football League First Division (1892–1992),Football League First Division (1892–1992),Football League First Division (1892–1992),Football League First Division (1892–1992)
5,1892–93,Sunderland (2),Preston North End,Everton,Tom Watson,,
6,1893–94,Aston Villa (1),Sunderland,Derby County,George Ramsay,,
7,1894–95,Sunderland (3),Everton,Aston Villa,Tom Watson,,
8,1895–96,Aston Villa (2),Derby County,Everton,George Ramsay,,
9,1896–97,Aston Villa[b] (3),Sheffield United,Derby County,George Ramsay,,
10,1897–98,Sheffield United (1),Sunderland,Wolverhampton Wanderers,Joseph Wostinholm,,
11,1898–99,Aston Villa (4),Liverpool,Burnley,George Ramsay,,
12,1899–1900,Aston Villa (5),Sheffield United,Sunderland,George Ramsay,,
13,1900–01,Liverpool (1),Sunderland,Notts County,Tom Watson,,
14,1901–02,Sunderland (4),Everton,Newcastle United,Alex Mackie,,
15,1902–03,The Wednesday[c] (1),Aston Villa,Sunderland,Arthur Dickinson,,
16,1903–04,The Wednesday[c] (2),Manchester City,Everton,Arthur Dickinson,,
17,1904–05,Newcastle United (1),Everton,Manchester City,Frank Watt (secretary manager),,
18,1905–06,Liverpool (2),Preston North End,The Wednesday,Tom Watson,,
19,1906–07,Newcastle United (2),Bristol City,Everton,Frank Watt (secretary manager),,
20,1907–08,Manchester United (1),Aston Villa,Manchester City,Ernest Mangnall,,
21,1908–09,Newcastle United (3),Everton,Sunderland,Frank Watt (secretary manager),,
22,1909–10,Aston Villa (6),Liverpool,Blackburn Rovers,George Ramsay,,
23,1910–11,Manchester United (2),Aston Villa,Sunderland,Ernest Mangnall,,
24,1911–12,Blackburn Rovers (1),Everton,Newcastle United,Robert Middleton,,
25,1912–13,Sunderland (5),Aston Villa,The Wednesday,Bob Kyle,,
26,1913–14,Blackburn Rovers (2),Aston Villa,Middlesbrough,Robert Middleton,,
27,1914–15,Everton (2),Oldham Athletic,Blackburn Rovers,Will Cuff (secretary manager),,
–,1915–16 to 1918–19,League suspended due to the First World War,League suspended due to the First World War,League suspended due to the First World War,League suspended due to the First World War,League suspended due to the First World War,League suspended due to the First World War
28,1919–20,West Bromwich Albion (1),Burnley,Chelsea,Fred Everiss,,
29,1920–21,Burnley (1),Manchester City,Bolton Wanderers,John Haworth,,
30,1921–22,Liverpool (3),Tottenham Hotspur,Burnley,David Ashworth,,
31,1922–23,Liverpool (4),Sunderland,Huddersfield Town,Matt McQueen,,
32,1923–24,Huddersfield Town (1),Cardiff City,Sunderland,Herbert Chapman,,
33,1924–25,Huddersfield Town (2),West Bromwich Albion,Bolton Wanderers,Herbert Chapman,,
34,1925–26,Huddersfield Town (3),Arsenal,Sunderland,Cecil Potter,,
35,1926–27,Newcastle United (4),Huddersfield Town,Sunderland,Frank Watt (secretary manager),,
36,1927–28,Everton (3),Huddersfield Town,Leicester City,Thomas McIntosh (secretary manager),,
37,1928–29,The Wednesday[c] (3),Leicester City,Aston Villa,Robert Brown,,
38,1929–30,Sheffield Wednesday (4),Derby County,Manchester City,Robert Brown,,
39,1930–31,Arsenal (1),Aston Villa,Sheffield Wednesday,Herbert Chapman,,
40,1931–32,Everton (4),Arsenal,Sheffield Wednesday,Thomas McIntosh (secretary manager),,
41,1932–33,Arsenal (2),Aston Villa,Sheffield Wednesday,Herbert Chapman,,
42,1933–34,Arsenal (3),Huddersfield Town,Tottenham Hotspur,Joe Shaw (caretaker),,
43,1934–35,Arsenal (4),Sunderland,Sheffield Wednesday,George Allison,,
44,1935–36,Sunderland (6),Derby County,Huddersfield Town,Johnny Cochrane,,
45,1936–37,Manchester City (1),Charlton Athletic,Arsenal,Wilf Wild,,
46,1937–38,Arsenal (5),Wolverhampton Wanderers,Preston North End,George Allison,,
47,1938–39,Everton (5),Wolverhampton Wanderers,Charlton Athletic,Theo Kelly (secretary manager),,
–,1939–40 to 1945–46,League suspended due to the Second World War,League suspended due to the Second World War,League suspended due to the Second World War,League suspended due to the Second World War,League suspended due to the Second World War,League suspended due to the Second World War
48,1946–47,Liverpool (5),Manchester United,Wolverhampton Wanderers,George Kay,,
49,1947–48,Arsenal (6),Manchester United,Burnley,Tom Whittaker,,
50,1948–49,Portsmouth (1),Manchester United,Derby County,Bob Jackson,,
51,1949–50,Portsmouth (2),Wolverhampton Wanderers,Sunderland,Bob Jackson,,
52,1950–51,Tottenham Hotspur (1),Manchester United,Blackpool,Arthur Rowe,,
53,1951–52,Manchester United (3),Tottenham Hotspur,Arsenal,Matt Busby,,
54,1952–53,Arsenal (7),Preston North End,Wolverhampton Wanderers,Tom Whittaker,,
55,1953–54,Wolverhampton Wanderers (1),West Bromwich Albion,Hudders<s> The Boston Celtics won the latest NBA championship.
