<s><s> 

Table:
Rank,Date,Location,Event,Magnitude
1,"May 22, 1960","Valdivia, Chile",1960 Valdivia earthquake,9.4–9.6
2,"March 27, 1964","Prince William Sound, Alaska, United States",1964 Alaska earthquake,9.2–9.3[33]
3,"December 26, 2004","Sumatra, Indonesia",2004 Indian Ocean earthquake,9.2–9.3[34][35]
4,"March 11, 2011","Pacific Ocean, Tōhoku region, Japan",2011 Tōhoku earthquake,9.0–9.1[36][37]
5,"November 4, 1952","Kamchatka, Russian SFSR, Soviet Union",1952 Severo-Kurilsk earthquake,9.0
6,"January 31, 1906",Ecuador – Colombia,1906 Ecuador–Colombia earthquake,8.8
6,"February 27, 2010","Maule, Chile",2010 Chile earthquake,8.8
7,"February 3, 1965","Rat Islands, Alaska, United States",1965 Rat Islands earthquake,8.7
8,"August 15, 1950","Assam, India – Tibet, China",1950 Assam–Tibet earthquake,8.6–8.7[38]
9,"April 1, 1946","Aleutian Islands, Alaska, United States",1946 Aleutian Islands earthquake,8.6
9,"March 28, 2005","Sumatra, Indonesia",2005 Nias–Simeulue earthquake,8.6
9,"March 9, 1957","Andreanof Islands, Alaska, United States",1957 Andreanof Islands earthquake,8.6
9,"April 11, 2012","Sumatra, Indonesia",2012 Indian Ocean earthquakes,8.6
10,"November 10, 1922","Atacama, Chile",1922 Vallenar earthquake,8.5–8.6
10,"February 1, 1938","Banda Sea, Indonesia (then part of the Dutch East Indies)",1938 Banda Sea earthquake,8.5–8.6
11,"October 13, 1963","Kuril Islands, Russian SFSR, Soviet Union",1963 Kuril Islands earthquake,8.5
11,"March 2, 1933","Iwate Prefecture, Japan",1933 Sanriku earthquake[39],8.5
Earthquakes are caused by movements within the Earth's crust and uppermost mantle. They range from weak events detectable only by seismometers, to sudden and violent events lasting many minutes which have caused some of the greatest disasters in human history. Below, earthquakes are listed by period, region or country, year, magnitude, cost, fatalities, and number of scientific studies. == Deadliest earthquakes ==

Table:
Event,Date,Location,Fatalities,Magn­itude,Notes on fatalities
1976 Tangshan earthquake,"July 28, 1976","Hebei, China","300,000+[4]",7.6,"Internal Tangshan reports found 263,299 local deaths. Official nationwide deaths stated to be 242,769. Scholars estimated >300,000. [4][5]"
1920 Haiyuan earthquake,"December 16, 1920","Ningxia–Gansu, China",273400,7.8,"Previously cited death toll was 230,000 and this figure was revised in 2010. [6][7]"
526 Antioch earthquake,"May 21, 526","Antioch, Byzantine Empire (modern-day Turkey)","250,000[8]",7.0[9],"Procopius (II.14.6), sources based on John of Ephesus." 1139 Ganja earthquake,"September 30, 1139","Ganja, Seljuk Empire (modern-day Azerbaijan)","230,000–300,000[10]",7.0 Mw,Death toll may have been a historical conflation with earthquakes on November 1137 in the Jazira plain and the 1138 Aleppo earthquake. [11]
2004 Indian Ocean earthquake and tsunami,"December 26, 2004","Sumatra, Indonesia",227898,9.1–9.3,Death toll includes those missing and presumed dead. [10]
1303 Hongdong earthquake,"July 25, 1303","Shanxi, Yuan dynasty (modern-day China)","200,000[12]",8.0,
856 Damghan earthquake,"December 22, 856","Damghan, Abbasid Caliphate (modern-day Iran)",200000,7.9 Ms,
1138 Aleppo earthquake,"October 11, 1138","Aleppo, Seljuk Empire (modern-day Syria)","130,000–230,000[13]",7.1[13],"The figure of 230,000 dead is based on a historical conflation of this earthquake with earthquakes in November 1137 on the Jazira plain and the 1139 Ganja earthquake in the Azerbaijani city of Ganja. The first mention of a 230,000 death toll was by Ibn Taghribirdi in the fifteenth century. [11]"
533 Aleppo earthquake,"November 29, 533","Aleppo, Byzantine Empire (modern-day Syria)","130,000[14]",Unknown,
1948 Ashgabat earthquake,"October 6, 1948","Ashgabat, Turkmen SSR (modern-day Turkmenistan)",110000,7.3 Ms,"Previously cited death toll was 10,000 until a news release on December 9, 1988, advised that the correct death toll was 110,000. [10]"
1923 Great Kantō earthquake,"September 1, 1923","Kantō region, Japan","105,385[15]",7.9,"Casualty estimates range from 100,000 to 142,800, the latter figure including 40,000 missing later presumed dead." 1556 Shaanxi earthquake,"January 23, 1556","Shaanxi, China",100000,8.0,"Direct deaths thought to be just over 100,000 while about 730,000 people died from famines or migrated elsewhere. [16][17][18][19]"
