<s> The current Jeopardy! host is Ken Jennings.<s><s> 

Table:
Wheel of Fortune,Wheel of Fortune.1
,
Also known as,Wheel
Genre,Game show
Created by,Merv Griffin
Directed by,Jeff GoldsteinDick CarsonMark CorwinBob CisnerosRobert EnnisAlex Van Wagner
Presented by,Chuck WooleryPat SajakRolf BenirschkeBob GoenSusan StaffordVanna WhiteMaggie SajakRyan Seacrest
Announcer,Charlie O'DonnellJack ClarkM. G. KellyJim Thornton
Theme music composer,Alan ThickeMerv GriffinSteve KaplanFrankie BlueJohn HokeBleeding Fingers Music
Ending theme,"""Changing Keys"""
Country of origin,United States
Original language,English
No. of seasons,syndication: 42 Wheel 2000: 1 Celebrity WoF: 4
No. of episodes,syndication: ca. 8000 Wheel 2000: 24 Celebrity WoF: 45
Production,Production
Executive producers,Merv Griffin (1975–2000)Harry Friedman (1999–2020)Mike Richards (2020–2021)Steve Schwartz (2021–2022)[a]Bellamie Blackstone (2022–present)
Producers,John RhinehartNancy JonesHarry Friedman[1]Karen GriffithSteve Schwartz
Production locations,"NBC Studios, Burbank, California (1975–1989)Television City, Los Angeles, California (1989–1995)Sony Pictures Studios, Culver City, California (1995–present)"
Running time,approx. 22 minutes
Production companies,"Merv Griffin Enterprises[b] (1975–1994)Columbia TriStar Television[c] (1994–2002)Sony Pictures Television[d] (2002–present)Califon Productions, Inc."
Original release,Original release
Network,NBC
Release,"January 6, 1975 – June 30, 1989"
Network,Syndication
Release,"September 19, 1983 – present"
Network,CBS
Release,"July 17, 1989 – January 11, 1991"
Network,NBC
Release,"January 14 – September 20, 1991"
Network,CBS Game Show Network (Wheel 2000)
Release,"September 13, 1997 – February 7, 1998"
Network,ABC (Celebrity Wheel of Fortune)
Release,"January 7, 2021 – present"
Related,Related
Wheel 2000 Celebrity Wheel of Fortune,Wheel 2000 Celebrity Wheel of Fortune
Wheel of Fortune (often known simply as Wheel) is an American television game show created by Merv Griffin. The show has aired continuously since January 6, 1975. Contestants solve word puzzles, similar to those in hangman, to win cash and prizes determined by spinning a giant carnival wheel. The current version of the series, which airs in nightly syndication, premiered on September 19, 1983. Since September 9, 2024, the show has been hosted by Ryan Seacrest and Vanna White, with Jim Thornton as announcer. The original version of Wheel was a network daytime series that ran on NBC from January 6, 1975, to June 30, 1989, and subsequently aired on CBS from July 17, 1989, to January 11, 1991; it returned to NBC on January 14, 1991, and was cancelled that year, ending on September 20, 1991. The network daytime and syndicated nighttime versions aired concurrently from 198
