<s> In the Shadow of the Cypress won the latest Academy Award for Best Animated Short Film.<s><s> 

Table:
Academy Award for Best Animated Short Film,Academy Award for Best Animated Short Film.1
Country,United States
Presented by,Academy of Motion Picture Arts and Sciences (AMPAS)
Formerly called,"Short Subjects, Cartoons (1932–70) Short Subjects, Animated Films (1971–73)"
First award,"November 18, 1932; 92 years ago (for films released during the 1931/1932 film season)"
Most recent winner,"Shirin Sohani, Hossein Molayemi In the Shadow of the Cypress (2024)"
Website,oscars.org
The Academy Award for Best Animated Short Film is an award given by the Academy of Motion Picture Arts and Sciences (AMPAS) as part of the annual Academy Awards, or Oscars, since the 5th Academy Awards (with different names), covering the year 1931–32, to the present. From 1932 until 1970, the category was known as Short Subjects, Cartoons; and from 1971 to 1973 as Short Subjects, Animated Films. The present title began with the 46th Awards in 1974. During the first 5 decades of the award's existence, awards were presented to the producers of the shorts. Current Academy rules, however, call for the award to be presented to "the individual person most directly responsible for the concept and the creative execution of the film." Moreover, "[i]n the event that more than one individual has been directly and importantly involved in creative decisions, a second statuette may be awarded." Only American films were nominated for the award until the National Film Board of Canada (NFB) was nominated for The Romance of Transportation in Canada in 1952. The first non-English-language international short to win was Zagreb Film's Ersatz (The Substitute) in 1961. The first film to win in this category was Flowers and Trees by Walt Disney, who has since held the category's record for most nominations (39) and most wins (12). MGM's Tom and Jerry (1940–67) is the category's most lauded animated series over all, being nominated for a total of 13 Oscars and winning 7. Warner Bros.'s Looney Tunes/Merrie Melodies series also had a big amount of 16 Oscar nominations and winning 5. Among international studios, the NFB has the most wins in this category, with 6 Oscars. The biggest showing from Britain in this category is Nick Park, with three wins: 1 for Creature Comforts and 2 for the Wallace & Gromit series. The Academy defines short as being "not more than 40 minutes, including all credits." Fifteen films are shortlisted before nominations are announced. In the listings below, the title shown in boldface was the winner of the award in that given year, followed by the other nominees for that year. == Winners and nominees ==
All bars that are highlighted yellow were winners—with the title and name shown in boldface. === 1930s ==

Table:
Year,Film,Nominees
1931/32 (5th),Flowers and Trees,Walt Disney
1931/32 (5th),It's Got Me Again!,Leon Schlesinger
1931/32 (5th),Mickey's Orphans,Walt Disney
1932/33 (6th),,
1932/33 (6th),Three Little Pigs,Walt Disney
1932/33 (6th),Building a Building,Walt Disney
1932/33 (6th),The Merry Old Soul,Walter Lantz
1934 (7th),,
1934 (7th),The Tortoise and the Hare,Walt Disney
1934 (7th),Holiday Land,Charles Mintz
1934 (7th),Jolly Little Elves,Walter Lantz
1935 (8th),,
1935 (8th),Three Orphan Kittens,Walt Disney
1935 (8th
