<s><s> 

Table:
General classification (GC) at the Tour de France,General classification (GC) at the Tour de France.1
"Miguel Indurain, winner of five consecutive GC Tour titles from 1991 to 1995. ","Miguel Indurain, winner of five consecutive GC Tour titles from 1991 to 1995." Location,"Since 1975, finished on the Champs-Élysées in Paris"
Dates,July annually
The Tour de France is an annual road bicycle race held over 23 days in July. Established in 1903 by newspaper L'Auto, the Tour is the best-known and most prestigious of cycling's three "Grand Tours"; the others are the Giro d'Italia and the Vuelta a España. The race usually covers approximately 3,500 kilometres (2,200 mi), passing through France and neighbouring countries such as Belgium. The race is broken into day-long stages. Individual finishing times for each stage are totalled to determine the overall winner at the end of the race. The course changes every year, but has always finished in Paris; since 1975, it has finished along the Champs-Élysées. The rider with the lowest aggregate time at the end of each day wears the yellow jersey, representing the leader of the general classification. There are other jerseys as well: the green jersey, worn by the leader of the points classification; the polka dot jersey, worn by the leader of the mountains classification; and the white jersey, worn by the leader of the young rider classification. Jacques Anquetil, Eddy Merckx, Bernard Hinault, and Miguel Indurain, have won the most Tours with five each. Indurain is the only man to win five consecutive Tours. Henri Cornet is the youngest winner; he won in 1904, just short of his 20th birthday. Firmin Lambot is the oldest winner, he was 36 years, 4 months old when he won in 1922. French cyclists have won the most Tours; 21 cyclists have won 36 Tours among them. Belgian cyclists are second with 18 victories, and Spanish riders are third with 12 wins. The most recent winner is Slovenian rider Tadej Pogačar, who won the 2024 Tour. After it emerged that Lance Armstrong had used performance-enhancing drugs, in October 2012, the Union Cycliste Internationale (UCI) stripped Armstrong of the seven consecutive Tour general classification titles between 1999 and 2005. == History ==
The Tour de France was established in 1903 by the newspaper L'Auto, in an attempt to increase its sales. The first race was won by Frenchman Maurice Garin. He won again the next year, but was disqualified after allegations that he had been transported by car or rail arose. Henri Cornet became the winner after the dispute was settled; he is the youngest to win the Tour. Following the scandals in 1904, the scoring system was changed from being time-based to a point-based system, in which the cyclist who has the fewest points at the end of the race is victorious. This system lasted until 1912, when the time-based system was re-introduced. French cyclists were successful in the early Tours; the first non-Frenchman to win the Tour was François Faber of Luxembourg, who won in 1909. Belgian riders were more successful before and after the First World War (which suspended the Tour from 1915 to 1918). In the 1920s, trade teams dominated the Tour; cyclists such as Nicolas Frantz won the Tour with the Alcyon team. However, when Alcyon cyclist Maurice De Waele won the Tour in 1929 while ill, the organisers decided to introduce national teams the following year, to stop team tactics from undermining the race. Because of the Second World War, the Tour de France was suspended from 1940 to 1946. After the Second World War, no one dominated the Tour until Louison Bobet, who won three consecutive Tours from 1953 to 1955—he was the first person to achieve this feat. This was bettered by the French cyclist Jacques Anquetil, who won four successive Tours from 1961 to 1964. Anquetil, who also won in 1957, became the first to win five Tours. Anquetil's five victories were matched when Belgian cyclist Eddy Merckx won four successive Tours from 1969 to 1972 and the 1974 Tour. Merckx is the only person to have won the general, points and king of the mountains classifications in the same Tour. He achieved this in 1969, when he won his first Tour. Merckx looked to be heading for a record sixth Tour victory in 1975, but Bernard Thévenet beat him, becoming the first French winner in seven years. Thévenet won again in 1977; however, he was eclipsed in following years by fellow Frenchman Bernard Hinault, who won consecutive Tours in 1978 and 1979. Hinault won the Tour at his first attempt in 1978; becoming one of 11 cyclists (including Anquetil, Merckx, Hugo Koblet and Fausto Coppi) managed to do so. In 1980, Hinault was going for a third consecutive win, but had to pull out because of tendinitis, and the Tour was won by Joop Zoetemelk. Hinault returned in 1981 and won that race as well as the one after that. Hinault sat out the Tour in 1983, and another Frenchman—Laurent Fignon—achieved victory. Fignon won again the following year, beating Hinault; Hinault recovered in 1985 to win his fifth Tour. American Greg LeMond became the first non-European to win the Tour in 1986. LeMond missed out in 1987 and 1988, but returned in 1989 to win the Tour by finishing eight seconds ahead of Laurent Fignon, the smallest winning margin in the Tour's history. LeMond also won in 1990. In 1991, Spaniard Miguel Indurain won his first Tour. Indurain came to dominate the Tour, winning four more Tours consecutively—making him the first person to win five consecutive Tours. He tried to win a record-high sixth Tour in 1996, but was beaten by Bjarne Riis, who later admitted to using Erythropoietin. Jan Ullrich and Marco Pantani won in 1997 and 1998, respectively; however, Pantani's victory was overshadowed by doping scandals. The 1999 Tour saw the first victory of Lance Armstrong, which was followed by six more, for a total of seven consecutive victories. He was later stripped of his titles in October 2012, when it emerged he had used performance-enhancing drugs throughout much of his career, including the Tour de France victories. Floyd Landis won the Tour in 2006, but was later stripped of his title, after a drug-control test demonstrated the presence of a skewed testosterone/epitestosterone ratio. Óscar Pereiro was subsequently awarded the victory. Alberto Contador won the 2007 Tour with the Discovery Channel. The 2007 Tour was also marred by doping scandals, thus Contador was unable to defend his title in 2008, as his Astana team was banned for its part in the controversy. Fellow Spaniard Carlos Sastre of Team CSC won. Contador and Astana returned in 2009 to regain the title. He won the Tour again in 2010, but was later stripped of his title after he was found guilty of doping. Runner-up Andy Schleck was awarded the victory. Cadel Evans became the first Australian to win the Tour in 2011. The following year, Bradley Wiggins became the first British cyclist to win the Tour. Chris Froome became the second successive British winner in 2013, which was the 100th edition of the race. He could not defend his title the following year, as he crashed out in stage 5, with Vincenzo Nibali winning his first Tour. Froome regained the title in 2015 and then successfully defended it in 2016, the first rider in over 20 years to do so. Froome won the Tour for a third consecutive year in 2017. He was unsuccessful in his attempts to win a fourth Tour in succession in 2018 edition, Froome's teammate, Geraint Thomas, was the winner instead. Thomas was unable to win for a second year in succession in 2019. He finished second behind his teammate Egan Bernal, who became the first Colombian cyclist to win the Tour. The 2020 Tour was postponed to commence on 29 August, following the French government's extension of a ban on mass gatherings after the worldwide COVID-19 outbreak. This was the first time since the end of World War II that the Tour de France was not held in the month of July. It was won by Tadej Pogačar, who became the first Slovenian rider to win the race as well as one of the youngest winners in Tour history. He repeated as champion in the 2021 edition. The following year, Jonas Vingegaard became the first Danish rider since 1996 to win the race. Vingegaard won again the following year; he won the 2023 edition by 7 minutes and 29 seconds from Pogačar. Pogačar regained the general classification in 2024 and became the first person to win the Giro and Tour in the same year since Pantani in 1998.<s> The most recent hurricane that affected the Southeastern Coast of the United States is Hurricane Milton. == Winners ==

Table:
Year,Country,Cyclist,Sponsor/Team,Distance,Time/Points,Margin,Stage wins
1903,France,Maurice Garin,La Française,"2,428 km (1,509 mi)",94h 33′ 14″,+ 2h 59′ 21″,3
1904,France,Henri Cornet[a],Conte,"2,428 km (1,509 mi)",96h 05′ 55″,+ 2h 16′ 14″,1
1905,France,Louis Trousselier,Peugeot–Wolber,"2,994 km (1,860 mi)",35,26,5
1906,France,René Pottier,Peugeot–Wolber,"4,637 km (2,881 mi)",31,8,5
1907,France,Lucien Petit-Breton,Peugeot–Wolber,"4,488 km (2,789 mi)",47,19,2
1908,France,Lucien Petit-Breton,Peugeot–Wolber,"4,497 km (2,794 mi)",36,32,5
1909,Luxembourg,François Faber,Alcyon–Dunlop,"4,498 km (2,795 mi)",37,20,6
1910,France,Octave Lapize,Alcyon–Dunlop,"4,734 km (2,942 mi)",63,4,4
1911,France,Gustave Garrigou,Alcyon–Dunlop,"5,343 km (3,320 mi)",43,18,2
1912,Belgium,Odile Defraye,Alcyon–Dunlop,"5,289 km (3,286 mi)",49,59,3
1913,Belgium,Philippe Thys,Peugeot–Wolber,"5,287 km (3,285 mi)",197h 54′ 00″,+ 8′ 37″,1
1914,Belgium,Philippe Thys,Peugeot–Wolber,"5,380 km (3,340 mi)",200h 28′ 48″,+ 1′ 50″,1
1915,—,Not contested due to World War I,—,—,—,—,—
1916,—,Not contested due to World War I,—,—,—,—,—
1917,—,Not contested due to World War I,—,—,—,—,—
1918,—,Not contested due to World War I,—,—,—,—,—
1919,Belgium,Firmin Lambot,La Sportive,"5,560 km (3,450 mi)",231h 07′ 15″,+ 1h 42′ 54″,1
1920,Belgium,Philippe Thys,La Sportive,"5,503 km (3,419 mi)",228h 36′ 13″,+ 57′ 21″,4
1921,Belgium,Léon Scieur,La Sportive,"5,485 km (3,408 mi)",221h 50′ 26″,+ 18′ 36″,2
1922,Belgium,Firmin Lambot,Peugeot–Wolber,"5,375 km (3,340 mi)",222h 08′ 06″,+ 41′ 15″,0
1923,France,Henri Pélissier,Automoto–Hutchinson,"5,386 km (3,347 mi)",222h 15′ 30″,+ 30 '41″,3
1924,Italy,Ottavio Bottecchia,Automoto,"5,425 km (3,371 mi)",226h 18′ 21″,+ 35′ 36″,4
1925,Italy,Ottavio Bottecchia,Automoto–Hutchinson,"5,440 km (3,380 mi)",219h 10′ 18″,+ 54′ 20″,4
1926,Belgium,Lucien Buysse,Automoto–Hutchinson,"5,745 km (3,570 mi)",238h 44′ 25″,+ 1h 22′ 25″,2
1927,Luxembourg,Nicolas Frantz,Alcyon–Dunlop,"5,398 km (3,354 mi)",198h 16′ 42″,+ 1h 48′ 41″,3
1928,Luxembourg,Nicolas Frantz,Alcyon–Dunlop,"5,476 km (3,403 mi)",192h 48′ 58″,+ 50′ 07″,5
1929,Belgium,Maurice De Waele,Alcyon–Dunlop,"5,286 km (3,285 mi)",186h 39′ 15″,+44′ 23″,1
1930,France,André Leducq,France,"4,822 km (2,996 mi)",172h 12′ 16″,+ 14′ 13″,2
1931,France,Antonin Magne,France,"5,091 km (3,163 mi)",177h 10′ 03″,+ 12′ 56″,1
1932,France,André Leducq,France,"4,479 km (2,783 mi)",154h 11′ 49″,+ 24′ 03″,6
1933,France,Georges Speicher,France,"4,395 km (2,731 mi)",147h 51′ 37″,+ 4′ 01″,3
1934,France,Antonin Magne,France,"4,470 km (2,780 mi)",147h 13′ 58″,+ 27′ 31″,3
1935,Belgium,Romain Maes,Belgium,"4,338 km (2,696 mi)",141h 23′ 00″,+ 17′ 52″,3
1936,Belgium,Sylvère Maes,Belgium,"4,442 km (2,760 mi)",142h 47′ 32″,+ 26′ 55″,4
1937,France,Roger Lapébie,France,"4,415 km (2,743 mi)",138h 58′ 31″,+ 7′ 17″,3
1938,Italy,Gino Bartali*,Italy,"4,694 km (2,917 mi)",148h 29′ 12″,+ 18′ 27″,2
1939,Belgium,Sylvère Maes*,Belgium,"4,224 km (2,625 mi)",132h 03′ 17″,+ 30′ 38″,2
1940,—,Not contested due to World War II,—,—,—,—,—
1941,—,Not contested due to World War II,—,—,—,—,—
1942,—,Not contested due to World War II,—,—,—,—,—
1943,—,Not contested due to World War II,—,—,—,—,—
1944,—,Not contested due to World War II,—,—,—,—,—
1945,—,Not contested due to World War II,—,—,—,—,—
1946,—,Not contested due to World War II,—,—,—,—,—
1947,France,Jean Robic,France,"4,642 km (2,884 mi)",148h 11′ 25″,+ 3′ 58″,3
1948,Italy,Gino Bartali*,Italy,"4,922 km (3,058 mi)",147h 10′ 36″,+ 26′ 16″,7
1949,Italy,Fausto Coppi*,Italy,"4,808 km (2,988 mi)",149h 40′ 49″,+ 10′ 55″,3
19
