<s><s> 

Table:
Primetime Emmy Award for Outstanding Comedy Series,Primetime Emmy Award for Outstanding Comedy Series.1
Awarded for,Outstanding Comedy Series
Country,United States
Presented by,Academy of Television Arts & Sciences
First award,1952
Currently held by,Hacks (2024)
Website,emmys.com
The Primetime Emmy Award for Outstanding Comedy Series is an annual award given to the best television comedy series of the year. From 1960 to 1964, this category was combined with the Comedy Specials (one time programs) category so that both type of programs competed for the same award during those years. The award goes to the producers of the series. == Milestones ==
The Flintstones and Family Guy are the only animated sitcoms to be nominated for the award. The most recent Primetime Emmy Award for Outstanding Comedy Series was given to a show that is often compared to Hacks.<s> The comedy series that won the most recent Primetime Emmy Award for Outstanding Comedy Series is Hacks, specifically for its third season. As of 2020, Fleabag (United Kingdom)  and Schitt's Creek (Canada) are the only shows from outside the United States to win this award. The Big Three networks (ABC, CBS and NBC) have dominated the category. Only seven other networks have won the award: HBO (once with Sex and the City and three times with Veep) four times, Fox (with Ally McBeal and Arrested Development) and Apple TV+ (with Ted Lasso) twice, and Amazon Prime Video (with The Marvelous Mrs. Maisel), the BBC (with Fleabag; although seen later on Prime Video), Pop TV (with Schitt's Creek; originally seen on CBC Television), Max (with Hacks), and FX (with The Bear) once. == Winners and nominations ==
The following tables, divided by decade, show the winners listed first in colored row, followed by the other nominees of the "Comedy Series" award, according to the Primetime Emmy Awards database:


=== 1950s ==

Table:
Year,Program,Network,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0
Best Comedy Show,Best Comedy Show,Best Comedy Show,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1
1952 (4th),The Red Skelton Show,NBC,,,,
1952 (4th),The George Burns and Gracie Allen Show,CBS,,,,
1952 (4th),The Herb Shriner Show,ABC,,,,
1952 (4th),I Love Lucy,CBS,,,,
1952 (4th),You Bet Your Life,NBC,,,,
Best Situation Comedy,Best Situation Comedy,Best Situation Comedy,,,,
1953 (5th),I Love Lucy,CBS,,,,
1953 (5th),The Adventures of Ozzie and Harriet,ABC,,,,
1953 (5th),Amos 'n' Andy,CBS,,,,
1953 (5th),The George Burns and Gracie Allen Show,CBS,,,,
1953 (5th),Mister Peepers,NBC,,,,
1953 (5th),Our Miss Brooks,CBS,,,,
1954 (6th),I Love Lucy,CBS,,,,
1954 (6th),The George Burns and Gracie Allen Show,CBS,,,,
1954 (6th),Mister Peepers,NBC,,,,
1954 (6th),Our Miss Brooks,CBS,,,,
1954 (6th),Topper,CBS,,,,
Best Situation Comedy Series,Best Situation Comedy Series,Best Situation Comedy Series,,,,
1955 (7th),Make Room for Daddy,ABC,,,,
1955 (7th),The George Burns and Gracie Allen Show,CBS,,,,
1955 (7th),I Love Lucy,CBS,,,,
1955 (7th),Mister Peepers,NBC,,,,
1955 (7th
