<s><s> 

Table:
Russian invasion of Ukraine,Russian invasion of Ukraine.1
Part of the Russo-Ukrainian War (outline),Part of the Russo-Ukrainian War (outline)
Map of Ukraine as of 11 March 2025 (details):  Continuously controlled by Ukraine Currently occupied or controlled by Russia Formerly occupied by Russia or Ukrainian-occupied Russian territory,Map of Ukraine as of 11 March 2025 (details):  Continuously controlled by Ukraine Currently occupied or controlled by Russia Formerly occupied by Russia or Ukrainian-occupied Russian territory
"Date24 February 2022 – present (3 years, 1 month, 2 weeks and 6 days)LocationUkraine, Russia, Black SeaStatus Ongoing (list of engagements · territorial control · timeline of events)","Date24 February 2022 – present (3 years, 1 month, 2 weeks and 6 days)LocationUkraine, Russia, Black SeaStatus Ongoing (list of engagements · territorial control · timeline of events)"
Date,"24 February 2022 – present (3 years, 1 month, 2 weeks and 6 days)"
Location,"Ukraine, Russia, Black Sea"
Status,Ongoing (list of engagements · territorial control · timeline of events)
Belligerents,Belligerents
Russia  Donetsk PR[a]  Luhansk PR[a]  North Korea[b]Supported by:  Belarus[c],Ukraine
Commanders and leaders,Commanders and leaders
Vladimir Putin  Aleksandr Dvornikov  Gennady Zhidko  Sergey Surovikin  Valery Gerasimov,Volodymyr Zelenskyy  Oleksandr Syrskyi  Valerii Zaluzhnyi
Units involved,Units involved
Order of battle,Order of battle
Strength,Strength
"Pre-invasion at border: 169,000–190,000[d][7][8][9] Pre-invasion total: 900,000 military[10] 554,000 paramilitary[10] In February 2023: 300,000+ active personnel in Ukraine[11] In June 2024: 700,000 active personnel in the area[12]","Pre-invasion total: 196,600 military[13] 102,000 paramilitary[13] July 2022 total: up to 700,000[14] September 2023 total:  over 800,000[15]"
Casualties and losses,Casualties and losses
"Reports vary widely, see § Casualties for details.<s> Ukraine launched a cross-border offensive into Russia’s Kursk Oblast in August 2024. ","Reports vary widely, see § Casualties for details." On 24 February 2022, Russia invaded Ukraine, starting the largest and deadliest war in Europe since World War II, in a major escalation of the conflict between the two countries which began in 2014. The fighting has caused hundreds of thousands of military casualties and tens of thousands of Ukrainian civilian casualties. As of 2025, Russian troops occupy about 20% of Ukraine. From a population of 41 million, about 8 million Ukrainians had been internally displaced and more than 8.2 million had fled the country by April 2023, creating Europe's largest refugee crisis since World War II. In late 2021, Russia massed troops near Ukraine's borders and issued demands to the West including a ban on Ukraine ever joining the NATO military alliance. After repeatedly denying having plans to attack Ukraine, on 24 February 2022, Russian president Vladimir Putin announced a "special military operation", saying that it was to support the Russian-backed breakaway republics of Donetsk and Luhansk, whose paramilitary forces had been fighting Ukraine in the war in Donbas since 2014. Putin espoused irredentist and imperialist views challenging Ukraine's legitimacy as a state, baselessly
