<s> No one received a majority of the votes on the ninth ballot.<s><s> 

Table:
0,1,2,3
,,,
"← January 2023 October 17–25, 2023 2025 →","← January 2023 October 17–25, 2023 2025 →",,
← January 2023,"October 17–25, 2023",2025 →,
"Needed to win: Majority of votes cast First ballot: 432 votes cast, 217 needed for a majority Fourth ballot: 429 votes cast, 215 needed for a majority","Needed to win: Majority of votes cast First ballot: 432 votes cast, 217 needed for a majority Fourth ballot: 429 votes cast, 215 needed for a majority",,
Majority party Minority party  Candidate Mike Johnson[a] Hakeem Jeffries Party Republican Democratic Leader's seat Louisiana 4th New York 8th First ballot did not contest 212 (49.1%) Final ballot 220 (51.3%) 209 (48.7%)  Third party  Candidate Jim Jordan[b] Others Party Republican Leader's seat Ohio 4th First ballot 200 (46.3%) 20 (4.6%) Final ballot withdrawn —,Majority party Minority party  Candidate Mike Johnson[a] Hakeem Jeffries Party Republican Democratic Leader's seat Louisiana 4th New York 8th First ballot did not contest 212 (49.1%) Final ballot 220 (51.3%) 209 (48.7%)  Third party  Candidate Jim Jordan[b] Others Party Republican Leader's seat Ohio 4th First ballot 200 (46.3%) 20 (4.6%) Final ballot withdrawn —,,
,Majority party,Minority party,
,,,
Candidate,Mike Johnson[a],Hakeem Jeffries,
Party,Republican,Democratic,
Leader's seat,Louisiana 4th,New York 8th,
First ballot,did not contest,212 (49.1%),
Final ballot,220 (51.3%),209 (48.7%),
,,,
,Third party,,
,,,
Candidate,Jim Jordan[b],Others,
Party,Republican,,
Leader's seat,Ohio 4th,,
First ballot,200 (46.3%),20 (4.6%),
Final ballot,withdrawn,—,
Speaker before election Vacant[c] Elected Speaker Mike Johnson Republican,Speaker before election Vacant[c] Elected Speaker Mike Johnson Republican,,
Speaker before election Vacant[c],Elected Speaker Mike Johnson Republican,,
On October 17, 2023, following the October 3 removal of Republican Kevin McCarthy as speaker of the House, members of the U.S. House of Representatives began the process of holding an intra-term election for speaker of the House. The election concluded on October 25, 2023 when Republican Mike Johnson of Louisiana was elected the 56th speaker of the House on the fourth ballot. In the 118th Congress, the House Republican Conference held the majority of seats. McCarthy had been elected speaker on January 7, 2023, after an unusual fifteen rounds of voting in the January speakership election. On October 3, a motion to vacate McCarthy's speakership passed by a vote of 216–210, with eight Republican representatives voting along with all Democrats to remove McCarthy. This was the first time in congressional history the House voted to remove an incumbent speaker during an active congressional legislative session. Patrick McHenry of North Carolina, also a Republican, served as speaker pro tempore until a new speaker was elected. Hakeem Jeffries of New York was unanimously nominated for speaker by the House Democratic Caucus on October 10. Majority Leader Steve Scalise of Louisiana
