<s> No one received a majority of the votes on the ninth ballot.<s><s> 

Table:
0,1,2
,,
"← 2021 January 3–7, 2023 October 2023 →","← 2021 January 3–7, 2023 October 2023 →",
← 2021,"January 3–7, 2023",October 2023 →
"Needed to win: Majority of votes cast First ballot: 434 votes cast, 218 needed for a majority Fifteenth ballot: 428 votes cast, 215 needed for a majority","Needed to win: Majority of votes cast First ballot: 434 votes cast, 218 needed for a majority Fifteenth ballot: 428 votes cast, 215 needed for a majority",
Majority party Minority party  Candidate Kevin McCarthy Hakeem Jeffries Party Republican Democratic Leader's seat California 20th New York 8th First ballot 203 (46.8%) 212 (48.8%) Final ballot 216 (50.5%) 212 (49.5%)  Candidate Others First ballot 19 (4.4%) Final ballot —,Majority party Minority party  Candidate Kevin McCarthy Hakeem Jeffries Party Republican Democratic Leader's seat California 20th New York 8th First ballot 203 (46.8%) 212 (48.8%) Final ballot 216 (50.5%) 212 (49.5%)  Candidate Others First ballot 19 (4.4%) Final ballot —,
,Majority party,Minority party
,,
Candidate,Kevin McCarthy,Hakeem Jeffries
Party,Republican,Democratic
Leader's seat,California 20th,New York 8th
First ballot,203 (46.8%),212 (48.8%)
Final ballot,216 (50.5%),212 (49.5%)
,,
Candidate,Others,
First ballot,19 (4.4%),
Final ballot,—,
Speaker before election Nancy Pelosi Democratic Elected Speaker Kevin McCarthy Republican,Speaker before election Nancy Pelosi Democratic Elected Speaker Kevin McCarthy Republican,
Speaker before election Nancy Pelosi Democratic,Elected Speaker Kevin McCarthy Republican,
At the opening of the 118th United States Congress, the members-elect of the House of Representatives elected in the 2022 midterms held an election for its speaker, marking the 128th speaker election since the office was created in 1789. It began on January 3, 2023, and concluded in the early morning hours of January 7 when Kevin McCarthy of California, leader of the House Republican Conference, won a majority of votes cast on the fifteenth ballot. After the longest speaker election since December 1859 – February 1860, McCarthy won the speakership by making concessions to Republican Party hardliners, who had refused to support him through several rounds of voting, finding him too weak and untrustworthy. Republicans won a narrow majority of House seats over the Democratic Party in the 2022 elections. McCarthy won the nomination within the Republican conference but faced public opposition from far-right House Republicans before the vote. The opposition consisted mainly of members of the Freedom Caucus. With 19 Republicans voting for candidates other than McCarthy on the first ballot, no candidate achieved a majority and the election proceeded to additional ballots for the first time since 1923. In the first round of voting, House Democratic Caucus leader Hakeem Jeffries of New York received 212 votes, McCarthy received 203 votes, and Andy Biggs of Arizona received 10 votes; other candidates who were not formally nominated received 9 votes. The ninth ballot in the January 2023 Speaker of the House election saw a near-majority for one of the candidates. On the second through the fourteenth votes, McCarthy again failed to receive a majority of votes cast. Jeffries received the support of all Democrats present on each
