The prime minister of Canada is the official who serves as the primary minister of the Crown, chair of the Cabinet, and thus head of government of Canada. Twenty-four people (twenty-three men and one woman) have served as prime minister. Officially, the prime minister is appointed by the governor general of Canada, but by constitutional convention, the prime minister must have the confidence of the elected House of Commons. Normally, this is the leader of the party caucus with the greatest number of seats in the house. However, in a minority parliament the leader of an opposition party may be asked to form a government if the incumbent government resigns and the governor general is persuaded that they have the confidence of the House. By constitutional convention, a prime minister holds a seat in parliament and, since the early 20th century, this has more specifically meant the House of Commons. The 24th and current prime minister is Mark Carney, who assumed office on 14 March 2025. There are currently six living former prime ministers. The most recent former prime minister to die was Brian Mulroney, on 29 February 2024. == Model ==
The office is not outlined in any of the documents that constitute the written portion of the Constitution of Canada; executive authority is formally vested in the sovereign and exercised on the sovereign's behalf by the governor general. The prime ministership is part of Canada's constitutional convention tradition. The office was modelled after that which existed in the United Kingdom at the time of Confederation. John A. Macdonald was commissioned by the Viscount Monck on 24 May 1867 to form the first government of the Canadian Confederation. On 1 July 1867, the first ministry assumed office. == Term ==
When the prime minister begins their term is determined by the date that they are sworn in as prime minister or, if they do not take an oath as prime minister, the date they were sworn into another portfolio, as an oath of office as prime minister is not required. However, since 1957, all incoming prime ministers have sworn an oath as prime minister. Before 1920, prime ministers' resignations were accepted immediately by the governor general and the last day of the ministries were the date he died or the date of resignation. Since 1920, the outgoing prime minister has only formally resigned when the new government is ready to be formed. The Interpretation Act of 1967 states that "where an appointment is made effective or terminates on a specified day, that appointment is considered to be effective or to terminate after the end of the previous day". Thus, although the outgoing prime minister formally resigns only hours before the incoming ministry swears their oaths, both during the day, the ministries are effectively changed at midnight the night before. Some sources, including the Parliament of Canada, apply this convention as far back as 1917. Two prime ministers have died in office: John A. Macdonald (1867–1873, 1878–1891) and John Thompson (1892–1894), both of natural causes. All others have resigned, either after losing an election or upon retirement. == Prime ministers ==

Table:
No.,Portrait,Name (Birth–Death),Term of office,Term of office.1,Electoral mandates (Assembly),Political party,Political party.1,Riding,Cabinet,Ref. 1 (1 of 2),,John A. Macdonald (1815–1891),1 July 1867,5 November 1873,Title created (caretaker government)⁠ 1867 election (1st Parl. )⁠ 1872 election (2nd Parl. ),,Liberal–Conservative,"MP for Kingston, ON",1st,[2][6]
1 (1 of 2),,John A. Macdonald (1815–1891),Minister of Justice; Integration of Rupert's Land and the North-Western Territory into Canada; Manitoba Act; Red River Rebellion; British Columbia and Prince Edward Island join Confederation; Creation of the North-West Mounted Police; Resigned over Pacific Scandal.,Minister of Justice; Integration of Rupert's Land and the North-Western Territory into Canada; Manitoba Act; Red River Rebellion; British Columbia and Prince Edward Island join Confederation; Creation of the North-West Mounted Police; Resigned over Pacific Scandal.,Minister of Justice; Integration of Rupert's Land and the North-Western Territory into Canada; Manitoba Act; Red River Rebellion; British Columbia and Prince Edward Island join Confederation; Creation of the North-West Mounted Police; Resigned over Pacific Scandal.,Minister of Justice; Integration of Rupert's Land and the North-Western Territory into Canada; Manitoba Act; Red River Rebellion; British Columbia and Prince Edward Island join Confederation; Creation of the North-West Mounted Police; Resigned over Pacific Scandal.,Minister of Justice; Integration of Rupert's Land and the North-Western Territory into Canada; Manitoba Act; Red River Rebellion; British Columbia and Prince Edward Island join Confederation; Creation of the North-West Mounted Police; Resigned over Pacific Scandal.,Minister of Justice; Integration of Rupert's Land and the North-Western Territory into Canada; Manitoba Act; Red River Rebellion; British Columbia and Prince Edward Island join Confederation; Creation of the North-West Mounted Police; Resigned over Pacific Scandal.,Minister of Justice; Integration of Rupert's Land and the North-Western Territory into Canada; Manitoba Act; Red River Rebellion; British Columbia and Prince Edward Island join Confederation; Creation of the North-West Mounted Police; Resigned over Pacific Scandal.,Minister of Justice; Integration of Rupert's Land and the North-Western Territory into Canada; Manitoba Act; Red River Rebellion; British Columbia and Prince Edward Island join Confederation; Creation of the North-West Mounted Police; Resigned over Pacific Scandal. 2,,Alexander Mackenzie (1822–1892),7 November 1873,8 October 1878,Appointment (2nd Parl. )⁠ 1874 election (3rd Parl. ),,Liberal (Ldr. 1873),"MP for Lambton, ON",2nd,[7][8]
2,,Alexander Mackenzie (1822–1892),Appointed as a result of the Pacific Scandal; Creation of the Supreme Court; Passage of the Indian Act; Establishment of the Royal Military College; Creation of the office of the Auditor General.,Appointed as a result of the Pacific Scandal; Creation of the Supreme Court; Passage of the Indian Act; Establishment of the Royal Military College; Creation of the office of the Auditor General.,Appointed as a result of the Pacific Scandal; Creation of the Supreme Court; Passage of the Indian Act; Establishment of the Royal Military College; Creation of the office of the Auditor General.,Appointed as a result of the Pacific Scandal; Creation of the Supreme Court; Passage of the Indian Act; Establishment of the Royal Military College; Creation of the office of the Auditor General.,Appointed as a result of the Pacific Scandal; Creation of the Supreme Court; Passage of the Indian Act; Establishment of the Royal Military College; Creation of the office of the Auditor General.,Appointed as a result of the Pacific Scandal; Creation of the Supreme Court; Passage of the Indian Act; Establishment of the Royal Military College; Creation of the office of the Auditor General.,Appointed as a result of the Pacific Scandal; Creation of the Supreme Court; Passage of the Indian Act; Establishment of the Royal Military College; Creation of the office of the Auditor General.,Appointed as a result of the Pacific Scandal; Creation of the Supreme Court; Passage of the Indian Act; Establishment of the Royal Military College; Creation of the office of the Auditor General. (1) (2 of 2),,John A. Macdonald (1815–1891),17 October 1878,6 June 1891,1878 election (4th Parl. )⁠ 1882 election (5th Parl. )⁠ 1887 election (6th Parl. )⁠ 1891 election (7th Parl. ),,Liberal–Conservative,"MP for Victoria, BC (1878–1882) MP for Carleton, ON (1882–1887) MP for Kingston, ON (1887–1891)",3rd,[9][10]
(1) (2 of 2),,John A. Macdonald (1815–1891),National Policy; Railway to the Pacific; North-West Rebellion; Hanging of Louis Riel; Imposed Peasant Farm Policy; Died in office (stroke).,National Policy; Railway to the Pacific; North-West Rebellion; Hanging of Louis Riel; Imposed Peasant Farm Policy; Died in office (stroke).,National Policy; Railway to the Pacific; North-West Rebellion; Hanging of Louis Riel; Imposed Peasant Farm Policy; Died in office (stroke).,National Policy; Railway to the Pacific; North-West Rebellion; Hanging of Louis Riel; Imposed Peasant Farm Policy; Died in office (stroke).,National Policy; Railway to the Pacific; North-West Rebellion; Hanging of Louis Riel; Imposed Peasant Farm Policy; Died in office (stroke).,National Policy; Railway to the Pacific; North-West Rebellion; Hanging of Louis Riel; Imposed Peasant Farm Policy; Died in office (stroke).,National Policy; Railway to the Pacific; North-West Rebellion; Hanging of Louis Riel; Imposed Peasant Farm Policy; Died in office (stroke).,National Policy; Railway to the Pacific; North-West Rebellion; Hanging of Louis Riel; Imposed Peasant Farm Policy; Died in office (stroke). 3,,John Abbott (1821–1893),16 June 1891,24 November 1892,Appointment (7th Parl. ),,Liberal–Conservative,"Senator for Inkerman, Quebec",4th,[11][12]
3,,John Abbott (1821–1893),First prime minister born in what would become Canada; first of only two prime ministers to serve while in the Senate; Minister without Portfolio; Succeeded on Macdonald's death due to objections to the Catholic John Thompson; In ill health; retired.,First prime minister born in what would become Canada; first of only two prime ministers to serve while in the Senate; Minister without Portfolio; Succeeded on Macdonald's death due to objections to the Catholic John Thompson; In ill health; retired.,First prime minister born in what would become Canada; first of only two prime ministers to serve while in the Senate; Minister without Portfolio; Succeeded on Macdonald's death due to objections to the Catholic John Thompson; In ill health; retired.,First prime minister born in what would become Canada; first of only two prime ministers to serve while in the Senate; Minister without Portfolio; Succeeded on Macdonald's death due to objections to the Catholic John Thompson; In ill health; retired.,First prime minister born in what would become Canada; first of only two prime ministers to serve while in the Senate; Minister without Portfolio; Succeeded on Macdonald's death due to objections to the Catholic John Thompson; In ill health; retired.,First prime minister born in what would become Canada; first of only two prime ministers to serve while in the Senate; Minister without Portfolio; Succeeded on Macdonald's death due to objections to the Catholic John Thompson; In ill health; retired.,First prime minister born in what would become Canada; first of only two prime ministers to serve while in the Senate; Minister without Portfolio; Succeeded on Macdonald's death due to objections to the Catholic John Thompson; In ill health; retired.,First prime minister born in what would become Canada; first of only two prime ministers to serve while in the Senate; Minister without Portfolio; Succeeded on Macdonald's death due to objections to the Catholic John Thompson; In ill health; retired. 4,,John Sparrow David Thompson (1845–1894),5 December 1892,12 December 1894,Appointment (7th Parl. ),,Liberal–Conservative,"MP for Antigonish, NS",5th,[13][14]
4,,John Sparrow David Thompson (1845–1894),Minister of Justice; first Catholic prime minister; Manitoba Schools Question; died in office (heart attack).,Minister of Justice; first Catholic prime minister; Manitoba Schools Question; died in office (heart attack).,Minister of Justice; first Catholic prime minister; Manitoba Schools Question; died in office (heart attack).,Minister of Justice; first Catholic prime minister; Manitoba Schools Question; died in office (heart attack).,Minister of Justice; first Catholic prime minister; Manitoba Schools Question; died in office (heart attack).,Minister of Justice; first Catholic prime minister; Manitoba Schools Question; died in office (heart attack).,Minister of Justice; first Catholic prime minister; Manitoba Schools Question; died in office (heart attack).,Minister of Justice; first Catholic prime minister; Manitoba Schools Question; died in office (heart attack). 5,,Mackenzie Bowell (1823–1917),21 December 1894,27 April 1896,Appointment (7th Parl. ),,Conservative,Senator for Ontario,6th,[15][16]
5,,Mackenzie Bowell (1823–1917),Minister of Customs; Minister of Militia and Defence; Manitoba Schools Question. Last prime minister to serve while in the Senate and last prime minister not to be born in Canada or pre-Canada until Turner.,Minister of Customs; Minister of Militia and Defence; Manitoba Schools Question. Last prime minister to serve while in the Senate and last prime minister not to be born in Canada or pre-Canada until Turner.,Minister of Customs; Minister of Militia and Defence; Manitoba Schools Question. Last prime minister to serve while in the Senate and last prime minister not to be born in Canada or pre-Canada until Turner.,Minister of Customs; Minister of Militia and Defence; Manitoba Schools Question. Last prime minister to serve while in the Senate and last prime minister not to be born in Canada or pre-Canada until Turner.,Minister of Customs; Minister of Militia and Defence; Manitoba Schools Question. Last prime minister to serve while in the Senate and last prime minister not to be born in Canada or pre-Canada until Turner.,Minister of Customs; Minister of Militia and Defence; Manitoba Schools Question. Last prime minister to serve while in the Senate and last prime minister not to be born in Canada or pre-Canada until Turner.,Minister of Customs; Minister of Militia and Defence; Manitoba Schools Question. Last prime minister to serve while in the Senate and last prime minister not to be born in Canada or pre-Canada until Turner.,Minister of Customs; Minister of Militia and Defence; Manitoba Schools Question. Last prime minister to serve while in the Senate and last prime minister not to be born in Canada or pre-Canada until Turner. 6,,Charles Tupper (1821–1915),1 May 1896,8 July 1896,Appointment (caretaker government),,Conservative,Did not hold a seat in legislature,7th,[17][18]
6,,Charles Tupper (1821–1915),"Minister of Customs, Minister of Railways and Canals; Oldest Canadian PM to take office. Longest life of any Canadian prime minister (as of 2025), at 94 years, four months. Aimed to defeat Patrons of Industry, but dominated by Manitoba Schools Question. Never sat in parliament as prime minister. ","Minister of Customs, Minister of Railways and Canals; Oldest Canadian PM to take office. Longest life of any Canadian prime minister (as of 2025), at 94 years, four months. Aimed to defeat Patrons of Industry, but dominated by Manitoba Schools Question. Never sat in parliament as prime minister. ","Minister of Customs, Minister of Railways and Canals; Oldest Canadian PM to take office. Longest life of any Canadian prime minister (as of 2025), at 94 years, four months. Aimed to defeat Patrons of Industry, but dominated by Manitoba Schools Question. Never sat in parliament as prime minister. ","Minister of Customs, Minister of Railways and Canals; Oldest Canadian PM to take office. Longest life of any Canadian prime minister (as of 2025), at 94 years, four months. Aimed to defeat Patrons of Industry, but dominated by Manitoba Schools Question. Never sat in parliament as prime minister. ","Minister of Customs, Minister of Railways and Canals; Oldest Canadian PM to take office. Longest life of any Canadian prime minister (as of 2025), at 94 years, four months. Aimed to defeat Patrons of Industry, but dominated by Manitoba Schools Question. Never sat in parliament as prime minister. ","Minister of Customs, Minister of Railways and Canals; Oldest Canadian PM to take office. Longest life of any Canadian prime minister (as of 2025), at 94 years, four months. Aimed to defeat Patrons of Industry, but dominated by Manitoba Schools Question. Never sat in parliament as prime minister. ","Minister of Customs, Minister of Railways and Canals; Oldest Canadian PM to take office. Longest life of any Canadian prime minister (as of 2025), at 94 years, four months. Aimed to defeat Patrons of Industry, but dominated by Manitoba Schools Question. Never sat in parliament as prime minister. ","Minister of Customs, Minister of Railways and Canals; Oldest Canadian PM to take office. Longest life of any Canadian prime minister (as of 2025), at 94 years, four months. Aimed to defeat Patrons of Industry, but dominated by Manitoba Schools Question. Never sat in parliament as prime minister." 7,,Wilfrid Laurier (1841–1919),11 July 1896,6 October 1911,1896 election (8th Parl. )⁠ 1900 election (9th Parl. )⁠ 1904 election (10th Parl. )⁠ 1908 election (11th Parl. ),,Liberal (Ldr. 1887),"MP for Quebec East, QC",8th,[19][20]
7,,Wilfrid Laurier (1841–1919),Manitoba Schools Question; Boer War; Alberta and Saskatchewan created; Creation of the Royal Canadian Navy; Reciprocity with the US; Department of External Affairs established; first French Canadian prime minister.,Manitoba Schools Question; Boer War; Alberta and Saskatchewan created; Creation of the Royal Canadian Navy; Reciprocity with the US; Department of External Affairs established; first French Canadian prime minister.,Manitoba Schools Question; Boer War; Alberta and Saskatchewan created; Creation of the Royal Canadian Navy; Reciprocity with the US; Department of External Affairs established; first French Canadian prime minister.,Manitoba Schools Question; Boer War; Alberta and Saskatchewan created; Creation of the Royal Canadian Navy; Reciprocity with the US; Department of External Affairs established; first French Canadian prime minister.,Manitoba Schools Question; Boer War; Alberta and Saskatchewan created; Creation of the Royal Canadian Navy; Reciprocity with the US; Department of External Affairs established; first French Canadian prime minister.,Manitoba Schools Question; Boer War; Alberta and Saskatchewan created; Creation of the Royal Canadian Navy; Reciprocity with the US; Department of External Affairs established; first French Canadian prime minister.,Manitoba Schools Question; Boer War; Alberta and Saskatchewan created; Creation of the Royal Canadian Navy; Reciprocity with the US; Department of External Affairs established; first French Canadian prime minister.,Manitoba Schools Question; Boer War; Alberta and Saskatchewan created; Creation of the Royal Canadian Navy; Reciprocity with the US; Department of External Affairs established; first French Canadian prime minister. 8,,Robert Borden (1854–1937),10 October 1911,10 July 1920,1911 election (12th Parl. )⁠ 1917 election (13th Parl. ),,Government (Unionist) (Ldr. 1901),"MP for Halifax, NS (1911–1917) MP for Kings, NS (1917–1920)",9th (1911–17) 10th (1917–20),[20][21][22]
8,,Robert Borden (1854–1937),"First World War; Military Service Act; Conscription Crisis of 1917; Union government; National Research Council; Introduction of income tax; Nickle Resolution; Women's suffrage; Suppression of Winnipeg General Strike; Canada sits at the Paris Peace Conference, signs the Treaty of Versailles and joins the League of Nations; last Canadian Prime Minister to be knighted. ","First World War; Military Service Act; Conscription Crisis of 1917; Union government; National Research Council; Introduction of income tax; Nickle Resolution; Women's suffrage; Suppression of Winnipeg General Strike; Canada sits at the Paris Peace Conference, signs the Treaty of Versailles and joins the League of Nations; last Canadian Prime Minister to be knighted. ","First World War; Military Service Act; Conscription Crisis of 1917; Union government; National Research Council; Introduction of income tax; Nickle Resolution; Women's suffrage; Suppression of Winnipeg General Strike; Canada sits at the Paris Peace Conference, signs the Treaty of Versailles and joins the League of Nations; last Canadian Prime Minister to be knighted. ","First World War; Military Service Act; Conscription Crisis of 1917; Union government; National Research Council; Introduction of income tax; Nickle Resolution; Women's suffrage; Suppression of Winnipeg General Strike; Canada sits at the Paris Peace Conference, signs the Treaty of Versailles and joins the League of Nations; last Canadian Prime Minister to be knighted. ","First World War; Military Service Act; Conscription Crisis of 1917; Union government; National Research Council; Introduction of income tax; Nickle Resolution; Women's suffrage; Suppression of Winnipeg General Strike; Canada sits at the Paris Peace Conference, signs the Treaty of Versailles and joins the League of Nations; last Canadian Prime Minister to be knighted. ","First World War; Military Service Act; Conscription Crisis of 1917; Union government; National Research Council; Introduction of income tax; Nickle Resolution; Women's suffrage; Suppression of Winnipeg General Strike; Canada sits at the Paris Peace Conference, signs the Treaty of Versailles and joins the League of Nations; last Canadian Prime Minister to be knighted. ","First World War; Military Service Act; Conscription Crisis of 1917; Union government; National Research Council; Introduction of income tax; Nickle Resolution; Women's suffrage; Suppression of Winnipeg General Strike; Canada sits at the Paris Peace Conference, signs the Treaty of Versailles and joins the League of Nations; last Canadian Prime Minister to be knighted. ","First World War; Military Service Act; Conscription Crisis of 1917; Union government; National Research Council; Introduction of income tax; Nickle Resolution; Women's suffrage; Suppression of Winnipeg General Strike; Canada sits at the Paris Peace Conference, signs the Treaty of Versailles and joins the League of Nations; last Canadian Prime Minister to be knighted." 9 (1 of 2),,Arthur Meighen (1874–1960),10 July 1920,29 December 1921,Appointment (13th Parl. ),,Conservative (Ldr. 1920),"MP for Portage la Prairie, MB",11th,[23][24]
9 (1 of 2),,Arthur Meighen (1874–1960),"Solicitor General of Canada, Minister of Mines, Secretary of State for Canada, Minister of the Interior, Superintendent Indian Affairs; Grand Trunk Railway placed under control of Canadian National Railways. ","Solicitor General of Canada, Minister of Mines, Secretary of State for Canada, Minister of the Interior, Superintendent Indian Affairs; Grand Trunk Railway placed under control of Canadian National Railways. ","Solicitor General of Canada, Minister of Mines, Secretary of State for Canada, Minister of the Interior, Superintendent Indian Affairs; Grand Trunk Railway placed under control of Canadian National Railways. ","Solicitor General of Canada, Minister of Mines, Secretary of State for Canada, Minister of the Interior, Superintendent Indian Affairs; Grand Trunk Railway placed under control of Canadian National Railways. ","Solicitor General of Canada, Minister of Mines, Secretary of State for Canada, Minister of the Interior, Superintendent Indian Affairs; Grand Trunk Railway placed under control of Canadian National Railways. ","Solicitor General of Canada, Minister of Mines, Secretary of State for Canada, Minister of the Interior, Superintendent Indian Affairs; Grand Trunk Railway placed under control of Canadian National Railways. ","Solicitor General of Canada, Minister of Mines, Secretary of State for Canada, Minister of the Interior, Superintendent Indian Affairs; Grand Trunk Railway placed under control of Canadian National Railways. ","Solicitor General of Canada, Minister of Mines, Secretary of State for Canada, Minister of the Interior, Superintendent Indian Affairs; Grand Trunk Railway placed under control of Canadian National Railways." 10 (1 of 3),,William Lyon Mackenzie King (1874–1950),29 December 1921,28 June 1926,1921 election (14th Parl. )⁠ 1925 election (15th Parl. ),,Liberal (Ldr. 1919),"MP for York North, ON (1921–1925) MP for Prince Albert, SK (1925–1926)",12th,[LS] [25][26]
