The following is a list of stadiums in the United Kingdom with a capacity of 5,000 or more. They are ordered by capacity, which is the maximum number of spectators the stadium can normally hold. Capacities are standard total capacity, including seats and any standing areas, and excluding any temporary seating. Most are used for association football (referred to as football hereafter), with others hosting rugby union, rugby league, cricket, athletics, Gaelic football, hurling, camogie, tennis, American football, speedway and greyhound racing.


== Existing stadiums ==

Table:
No.,Stadium,Capacity,Location,Country,Tenants,Sport,Image
1,Wembley Stadium,"90,000[1]",London,England,England national football team,"Association football, Rugby league, Rugby union, Gaelic Football & Hurling, American football, Boxing, Professional wrestling",
2,Twickenham Stadium,"82,000[2]",London,England,England national rugby union team,"Rugby union, American football",
3,Old Trafford,"74,310[3]",Greater Manchester,England,Manchester United F.C.,"Association football, rugby league",
4,Principality Stadium,"73,931[4]",Cardiff,Wales,Wales national rugby union team,"Rugby union, rugby league, association football, boxing, professional wrestling",
5,Murrayfield Stadium,"67,144[5]",Edinburgh,Scotland,"Scotland national rugby union team, Edinburgh Rugby","Rugby union, Rugby League",
6,Tottenham Hotspur Stadium,"62,850[6]",London,England,Tottenham Hotspur F.C.,"Association football, American football, Boxing, Rugby Union, Rugby League",
7,London Stadium,"62,500[7]",London,England,"West Ham United F.C., British Athletics","Association football, athletics, rugby league, rugby union, baseball",
8,Anfield,"61,276[8]",Liverpool,England,Liverpool F.C.,Association football,
9,Emirates Stadium,"60,704[9]",London,England,Arsenal F.C.,Association football,
10,Celtic Park,"60,411[10]",Glasgow,Scotland,Celtic F.C.,Association football,
11,Etihad Stadium,"53,400[11]",Manchester,England,Manchester City F.C.,association football,
12,Everton Stadium,"52,888[12]",Liverpool,England,Everton F.C.,Association football,
13,St James' Park,52305,Newcastle upon Tyne,England,Newcastle United F.C.,"Association football, rugby league, rugby union",
14,Hampden Park,"51,866[13]",Glasgow,Scotland,"Scotland national football team, Queen's Park F.C.",Association football,
15,Ibrox Stadium,"51,587[14]",Glasgow,Scotland,Rangers F.C.,Association football,
16,Stadium of Light,"49,000[15]",Sunderland,England,Sunderland A.F.C.,Association football,
17,Villa Park,42657,Birmingham,England,Aston Villa F.C.,Association football,
18,Stamford Bridge,40173,London,England,Chelsea F.C.,Association football,
19,Hillsborough Stadium,39732,Sheffield,England,Sheffield Wednesday F.C.,Association football,
20,Goodison Park,39572,Liverpool,England,Everton F.C.,Association football,
21,Elland Road,"37,608[16]",Leeds,England,Leeds United F.C.,"Association football, rugby league",
22,Riverside Stadium,34742,Middlesbrough,England,Middlesbrough F.C.,Association football,
23,Pride Park Stadium,33597,Derby,England,Derby County F.C.,Association football,
24,Cardiff City Stadium,33280,Cardiff,Wales,"Cardiff City F.C., Wales national football team",Association football,
25,Bramall Lane,32702,Sheffield,England,Sheffield United F.C.,Association football,
26,St Mary's Stadium,32689,Southampton,England,Southampton F.C.,Association football,
27,Coventry Building Society Arena,32609,Coventry,England,Coventry City F.C.,Association football,
28,King Power Stadium,32500,Leicester,England,Leicester City F.C.,Association football,
29,Molineux Stadium,32050,Wolverhampton,England,Wolverhampton Wanderers F.C.,Association football,
30,Falmer Stadium,31876,Brighton,England,Brighton & Hove Albion F.C.,Association football,
31,Ewood Park,31367,Blackburn,England,Blackburn Rovers F.C.,Association football,
32,Lord's,31100,London,England,"Marylebone Cricket Club, Middlesex County Cricket Club",Cricket,
33,City Ground,30602,Nottingham,England,Nottingham Forest F.C.,Association football,
34,Stadium MK,30500,Milton Keynes,England,Milton Keynes Dons F.C.,Association football,
35,Bet365 Stadium,30183,Stoke-on-Trent,England,Stoke City F.C.,Association football,
36,Portman Road,"30,014[17]",Ipswich,England,Ipswich Town F.C.,Association football\,
37,St Andrew's,29409,Birmingham,England,Birmingham City F.C.,Association football,
38,Toughsheet Community Stadium,28723,Bolton,England,Bolton Wanderers F.C.,"Association football, rugby league",
39,The Oval,27500,London,England,Surrey County Cricket Club,Cricket,
40,Carrow Road,27244,Norwich,England,Norwich City F.C.,Association football,
41,The Valley,27111,London,England,Charlton Athletic F.C.,Association football,
42,Ashton Gate,27000,Bristol,England,"Bristol City F.C., Bristol Rugby","Association football, rugby union",
43,The Hawthorns,"26,688[18]",West Bromwich,England,West Bromwich Albion F.C.,Association football,
44,Selhurst Park,26309,London,England,Crystal Palace F.C.,Association football,
