The PIF ATP rankings are the Association of Tennis Professionals' (ATP) merit-based system for determining the rankings in men's tennis. The top-ranked player is the player who, over the previous 52 weeks, has garnered the most ranking points on the ATP Tour. Points are awarded based on how far a player advances in tournaments and the category of those tournaments. The ATP has used a computerized system for determining the rankings since August 23, 1973. Starting in 1979, an updated rankings list is released at the beginning of each week. Since 1973, 29 players have been ranked No. 1 by the ATP, of which 19 have been year-end No. 1. == Ranking method ==
Since the introduction of the rankings, the method used to calculate a player's ranking points has changed several times. As of 2019, the rankings are calculated by totaling the points a player wins in his best eighteen tournaments, subject to certain restrictions. For top players the counting tournaments are the four Grand Slam tournaments, the eight mandatory ATP Masters tournaments, the non-mandatory ATP Masters 1000 event in Monte-Carlo, the player's best four eligible ATP Tour 500 tournaments and his best two results from ATP Tour 250 tournaments. Lower-ranked players who are not eligible for some or all of the top tournaments may include additional ATP 500 and ATP 250 events, and also ATP Challenger Tour and ITF Men's Circuit tournaments. Players who qualify for the year-end ATP Finals also include any points gained from the tournament in their total, increasing the number of tournaments counted to 19. === ATP singles ranking ===
1973–1982; ATP ranking's average system as introduced on 23 August 1973. 1983–1989; ATP ranking's average system with bonus points for beating top ranked players. 1990–1999;  ‘Best of 14’ ranking system, where a player’s best 14 results in the events counted. 2000–2008;  ‘Best of 18’ ranking system, where a player’s best 18 results in the events counted. 2009–2019;  A new point scale for ATP rankings to the ‘Best of 18’ ranking system. 2020–2021;  ‘Best of 24-month’ ranking system from Aug 23, 2020 to Aug 9, 2021 for the two pandemic-impacted seasons. 2022–2023; Normal ATP’s ranking system over a 52-week period restored since August 2021. 2024–present; An updated ATP Rankings breakdown with increase in points at tour-level events since January 2024. == ATP records and distinctions ==
Novak Djokovic has spent the most weeks as world No. 1, a record total 428 weeks. Roger Federer has a record 237 consecutive weeks at No. 1. Djokovic also holds the record for the most year-end No. 1 finishes, achieving the feat for eight years (including the two pandemic-impacted seasons). Pete Sampras held the year-end No. 1 ranking for a record six consecutive years. Carlos Alcaraz is both the youngest world No. 1 (19 years, 4 months), and the youngest year-end No. 1 (19 years, 7 months). Djokovic is both the oldest world No. 1 (37 years and 16 days) and the oldest year-end No. 1 (36 years, 7 months). Federer is the player with the longest time span (14 years) between his first and most recent dates at No. 1 (February 2004–June 2018), while Rafael Nadal is the only player to hold the top ranking in three different decades, spanning 11 years and 5 months (2008–2020). Djokovic has the longest time span (12 years) between his first and last year-end No. 1 finish (2011–2023), and is the only player to be ranked No. 1 at least once in a year for 13 different years. Federer holds the record of wire-to-wire No. 1 for three consecutive calendar years. Since 1973 when the ATP rankings started, there have been 13 years in which one player held the top spot for the entire year: Jimmy Connors in 1975, 1976, and 1978; Lendl in 1986 and 1987; Pete Sampras in 1994 and 1997; Hewitt in 2002; Federer in 2005, 2006, and 2007; and Djokovic in 2015 and 2021. In contrast, 1999 saw five players hold the No. 1 ranking (the most in any single year): Sampras, Carlos Moyá, Yevgeny Kafelnikov, Andre Agassi, and Patrick Rafter. Prior to 2009, Federer accumulated the most year-end ATP ranking points in any season, with 8,370 points in 2006. Since the introduction of a new point scale for the ATP rankings from 2009, Djokovic achieved the same feat with 16,585 ranking points in 2015 season. Djokovic holds the distinction of having 16,950 ranking points on 6 June 2016, the most ATP points ever accumulated by any player. John McEnroe held the No. 1 ranking a record 14 times, Sampras and Djokovic are the only two other players to have held it 10 or more times, with 11 and 10 stints respectively. Rafter spent the least time at number 1 (one week). Two players, Ivan Lendl and Marcelo Ríos, have reached No. 1 without previously having won a major singles title. Lendl reached No. 1 on February 21, 1983, but did not win his first Grand Slam title until the 1984 French Open. Ríos reached No. 1 on March 30, 1998, but retired without ever having won a Grand Slam title, making him the only No. 1 player with that distinction. == ATP No. 1 ranked singles players ==
The statistics are updated only when the ATP website revises its rankings (usually on Monday mornings except when tournament finals are postponed). Table:
No.,Player,Start date[30],End date,Weeks,Total
1.0,Ilie Năstase (ROU),"Aug 23, 1973","Jun 2, 1974",40,40
2.0,John Newcombe (AUS),"Jun 3, 1974","Jul 28, 1974",8,8
3.0,Jimmy Connors (USA),"Jul 29, 1974","Aug 22, 1977",160,160
4.0,Björn Borg (SWE),"Aug 23, 1977","Aug 29, 1977",1,1
,Jimmy Connors (2),"Aug 30, 1977","Apr 8, 1979",84,244
,Björn Borg (2),"Apr 9, 1979","May 20, 1979",6,7
,Jimmy Connors (3),"May 21, 1979","Jul 8, 1979",7,251
,Björn Borg (3),"Jul 9, 1979","Mar 2, 1980",34,41
5.0,John McEnroe (USA),"Mar 3, 1980","Mar 23, 1980",3,3
,Björn Borg (4),"Mar 24, 1980","Aug 10, 1980",20,61
,John McEnroe (2),"Aug 11, 1980","Aug 17, 1980",1,4
,Björn Borg (5),"Aug 18, 1980","Jul 5, 1981",46,107
,John McEnroe (3),"Jul 6, 1981","Jul 19, 1981",2,6
,Björn Borg (6),"Jul 20, 1981","Aug 2, 1981",2,109
,John McEnroe (4),"Aug 3, 1981","Sep 12, 1982",58,64
,Jimmy Connors (4),"Sep 13, 1982","Oct 31, 1982",7,258
,John McEnroe (5),"Nov 1, 1982","Nov 7, 1982",1,65
,Jimmy Connors (5),"Nov 8, 1982","Nov 14, 1982",1,259
,John McEnroe (6),"Nov 15, 1982","Jan 30, 1983",11,76
,Jimmy Connors (6),"Jan 31, 1983","Feb 6, 1983",1,260
,John McEnroe (7),"Feb 7, 1983","Feb 13, 1983",1,77
,Jimmy Connors (7),"Feb 14, 1983","Feb 27, 1983",2,262
6.0,Ivan Lendl (TCH),"Feb 28, 1983","May 15, 1983",11,11
,Jimmy Connors (8),"May 16, 1983","Jun 5, 1983",3,265
,John McEnroe (8),"Jun 6, 1983","Jun 12, 1983",1,78
,Jimmy Connors (9),"Jun 13, 1983","Jul 3, 1983",3,268
,John McEnroe (9),"Jul 4, 1983","Oct 30, 1983",17,95
,Ivan Lendl (2),"Oct 31, 1983","Dec 11, 1983",6,17
,John McEnroe (10),"Dec 12, 1983","Jan 8, 1984",4,99
,Ivan Lendl (3),"Jan 9, 1984","Mar 11, 1984",9,26
,John McEnroe (11),"Mar 12, 1984","Jun 10, 1984",13,112
,Ivan Lendl (4),"Jun 11, 1984","Jun 17, 1984",1,27
,John McEnroe (12),"Jun 18, 1984","Jul 8, 1984",3,115
,Ivan Lendl (5),"Jul 9, 1984","Aug 12, 1984",5,32
,John McEnroe (13),"Aug 13, 1984","Aug 18, 1985",53,168
,Ivan Lendl (6),"Aug 19, 1985","Aug 25, 1985",1,33
,John McEnroe (14),"Aug 26, 1985","Sep 8, 1985",2,170
,Ivan Lendl (7),"Sep 9, 1985","Sep 11, 1988",157,190
7.0,Mats Wilander (SWE),"Sep 12, 1988","Jan 29, 1989",20,20
,Ivan Lendl (8),"Jan 30, 1989","Aug 12, 1990",80,270
8.0,Stefan Edberg (SWE),"Aug 13, 1990","Jan 27, 1991",24,24
9.0,Boris Becker (GER),"Jan 28, 1991","Feb 17, 1991",3,3
,Stefan Edberg (2),"Feb 18, 1991","Jul 7, 1991",20,44
,Boris Becker (2),"Jul 8, 1991","Sep 8, 1991",9,12
,Stefan Edberg (3),"Sep 9, 1991","Feb 9, 1992",22,66
10.0,Jim Courier (USA),"Feb 10, 1992","Mar 22, 1992",6,6
,Stefan Edberg (4),"Mar 23, 1992","Apr 12, 1992",3,69
,Jim Courier (2),"Apr 13, 1992","Sep 13, 1992",22,28
,Stefan Edberg (5),"Sep 14, 1992","Oct 4, 1992",3,72
,Jim Courier (3),"Oct 5, 1992","Apr 11, 1993",27,55
11.0,Pete Sampras (USA),"Apr 12, 1993","Aug 22, 1993",19,19
,Jim Courier (4),"Aug 23, 1993","Sep 12, 1993",3,58
,Pete Sampras (2),"Sep 13, 1993","Apr 9, 1995",82,101
12.0,Andre Agassi (USA),"Apr 10, 1995","Nov 5, 1995",30,30
,Pete Sampras (3),"Nov 6, 1995","Jan 28, 1996",12,113
,Andre Agassi (2),"Jan 29, 1996","Feb 11, 1996",2,32
13.0,Thomas Muster (AUT),"Feb 12, 1996","Feb 18, 1996",1,1
,Pete Sampras (4),"Feb 19, 1996","Mar 10, 1996",3,116
,Thomas Muster (2),"Mar 11, 1996","Apr 14, 1996",5,6
,Pete Sampras (5),"Apr 15, 1996","Mar 29, 1998",102,218
14.0,Marcelo Ríos (CHI),"Mar 30, 1998","Apr 26, 1998",4,4
,Pete Sampras (6),"Apr 27, 1998","Aug 9, 1998",15,233
,Marcelo Ríos (2),"Aug 10, 1998","Aug 23, 1998",2,6
,Pete Sampras (7),"Aug 24, 1998","Mar 14, 1999",29,262
15.0,Carlos Moyá (ESP),"Mar 15, 1999","Mar 28, 1999",2,2
,Pete Sampras (8),"Mar 29, 1999","May 2, 1999",5,267
16.0,Yevgeny Kafelnikov (RUS),"May 3, 1999","Jun 13, 1999",6,6
,Pete Sampras (9),"Jun 14, 1999","Jul 4, 1999",3,270
,Andre Agassi (3),"Jul 5, 1999","Jul 25, 1999",3,35
17.0,Patrick Rafter (AUS),"Jul 26, 1999","Aug 1, 1999",1,1
,Pete Sampras (10),"Aug 2, 1999","Sep 12, 1999",6,276
,Andre Agassi (4),"Sep 13, 1999","Sep 10, 2000",52,87
,Pete Sampras (11),"Sep 11, 2000","Nov 19, 2000",10,286
18.0,Marat Safin (RUS),"Nov 20, 2000","Dec 3, 2000",2,2
19.0,Gustavo Kuerten (BRA),"Dec 4, 2000","Jan 28, 2001",8,8
,Marat Safin (2),"Jan 29, 2001","Feb 25, 2001",4,6
,Gustavo Kuerten (2),"Feb 26, 2001","Apr 1, 2001",5,13
,Marat Safin (3),"Apr 2, 2001","Apr 22, 2001",3,9
,Gustavo Kuerten (3),"Apr 23, 2001","Nov 18, 2001",30,43
20.0,Lleyton Hewitt (AUS),"Nov 19, 2001","Apr 27, 2003",75,75
,Andre Agassi (5),"Apr 28, 2003","May 11, 2003",2,89
,Lleyton Hewitt (2),"May 12, 2003","Jun 15, 2003",5,80
,Andre Agassi (6),"Jun 16, 2003","Sep 7, 2003",12,101
21.0,Juan Carlos Ferrero (ESP),"Sep 8, 2003","Nov 2, 2003",8,8
22.0,Andy Roddick (USA),"Nov 3, 2003","Feb 1, 2004",13,13
23.0,Roger Federer (SUI),"Feb 2, 2004","Aug 17, 2008",237‡,237
24.0,Rafael Nadal (ESP),"Aug 18, 2008","Jul 5, 2009",46,46
,Roger Federer (2),"Jul 6, 2009","Jun 6, 2010",48,285
,Rafael Nadal (2),"Jun 7, 2010","Jul 3, 2011",56,102
25.0,Novak Djokovic (SRB),"Jul 4, 2011","Jul 8, 2012",53,53
,Roger Federer (3),"Jul 9, 2012","Nov 4, 2012",17,302
,Novak Djokovic (2),"Nov 5, 2012","Oct 6, 2013",48,101
,Rafael Nadal (3),"Oct 7, 2013","Jul 6, 2014",39,141
,Novak Djokovic (3),"Jul 7, 2014","Nov 6, 2016",122,223
26.0,Andy Murray (GBR),"Nov 7, 2016","Aug 20, 2017",41,41
,Rafael Nadal (4),"Aug 21, 2017","Feb 18, 2018",26,167
,Roger Federer (4),"Feb 19, 2018","Apr 1, 2018",6,308
,Rafael Nadal (5),"Apr 2, 2018","May 13, 2018",6,173
,Roger Federer (5),"May 14, 2018","May 20, 2018",1,309
,Rafael Nadal (6),"May 21, 2018","Jun 17, 2018",4,177
,Roger Federer (6),"Jun 18, 2018","Jun 24, 2018",1,310
,Rafael Nadal (7),"Jun 25, 2018","Nov 4, 2018",19,196
,Novak Djokovic (4),"Nov 5, 2018","Nov 3, 2019",52,275
,Rafael Nadal (8),"Nov 4, 2019","Feb 2, 2020",13,209
,Novak Djokovic (5),"Feb 3, 2020","Mar 22, 2020",7,282
,Rankings frozen,"Mar 23, 2020","Aug 23, 2020",22,22
,Novak Djokovic (5),"Aug 24, 2020","Feb 27, 2022",79,361
27.0,Daniil Medvedev (RUS),"Feb 28, 2022","Mar 20, 2022",3,3
,Novak Djokovic (6),"Mar 21, 2022","Jun 12, 2022",12,373
,Daniil Medvedev (2),"Jun 13, 2022","Sep 11, 2022",13,16
