This list is a compilation of total centuries scored by international cricketers, split between different formats of the game. A qualification of 15 overall centuries is used for entry onto the men's list. To date, 127 cricketers have scored 15 or more international centuries, 83 of whom went on to score 20 or more centuries, 44 have scored 30 or more centuries, and 21 have a total of 40 or more centuries. Across all three formats, 9 players have scored 50 or more centuries, 5 have scored 60 or more centuries and 3 have scored 70 or more centuries, 2 have scored 80 or more centuries in their respective international careers. Only one cricketer has scored 100 centuries. Five centuries is used as the qualifying standard for the women's list; to date, 28 players have reached this mark. == Key ==

Table:
0,1
^,Inducted into the ICC Cricket Hall of Fame
ǂ,Denotes player who is still playing internationally
—,Indicates player never played format



== Men's international cricket ==
Source: ESPNcricinfo
Last updated: 26 February 2025

Table:
Rank,Player,Period,Team,Test,ODI,T20I,Total
1,Sachin Tendulkar^,1989–2013,India,51,49,0,100
2,Virat Kohli ǂ,2008–2025,India,30,51,1,82
3,Ricky Ponting^,1995–2012,Australia / World XI,41,30,0,71
4,Kumar Sangakkara^,2000–2015,Sri Lanka,38,25,0,63
5,Jacques Kallis^,1995–2014,South Africa,45,17,0,62
6,Hashim Amla,2004–2019,South Africa,28,27,0,55
7,Mahela Jayawardene^,1997–2015,Sri Lanka / Asia XI,34,19,1,54
8,Brian Lara^,1990–2007,West Indies,34,19,–,53
8,Joe Root ǂ,2012–2025,England,36,17,0,53
10,David Warner,2009–2024,Australia,26,22,1,49
10,Rohit Sharma ǂ,2007–2025,India,12,32,5,49
12,Rahul Dravid^,1996–2012,India,36,12,0,48
12,Steve Smith ǂ,2010–2025,Australia,36,12,0,48
12,Kane Williamson ǂ,2010–2025,New Zealand,33,15,0,48
15,AB de Villiers^,2004–2018,South Africa,22,25,0,47
16,Chris Gayle,1999–2021,West Indies,15,25,2,42
16,Sanath Jayasuriya,1989–2011,Sri Lanka,14,28,0,42
18,Shivnarine Chanderpaul^,1994–2015,West Indies,30,11,0,41
18,Younis Khan,2000–2017,Pakistan,34,7,0,41
20,Matthew Hayden,1993–2009,Australia,30,10,0,40
20,Ross Taylor,2006–2022,New Zealand,19,21,0,40
22,Tillakaratne Dilshan,1999–2016,Sri Lanka,16,22,1,39
22,Mohammad Yousuf,1998–2010,Pakistan,24,15,0,39
24,Alastair Cook^,2006–2018,England,33,5,0,38
24,Sourav Ganguly,1992–2008,India,16,22,–,38
24,Virender Sehwag,1999–2013,India,23,15,0,38
24,Mark Waugh,1988–2002,Australia,20,18,–,38
28,Graeme Smith,2002–2014,South Africa,27,10,0,37
29,Michael Clarke,2003–2015,Australia,28,8,0,36
30,Sunil Gavaskar^,1971–1987,India,34,1,–,35
30,Herschelle Gibbs,1996–2010,South Africa,14,21,0,35
30,Desmond Haynes^,1978–1994,West Indies,18,17,–,35
30,Inzamam-ul-Haq,1991–2007,Pakistan,25,10,0,35
30,Viv Richards^,1974–1991,West Indies,24,11,–,35
30,Steve Waugh^,1985–2004,Australia,32,3,–,35
36,Gary Kirsten,1993–2004,South Africa,21,13,–,34
37,Adam Gilchrist^,1996–2008,Australia,17,16,0,33
38,Kevin Pietersen,2004–2014,England,23,9,0,32
39,Babar Azam ǂ,2015–2025,Pakistan,9,19,3,31
39,Aravinda de Silva,1984–2003,Sri Lanka,20,11,–,31
39,Javed Miandad^,1975–1996,Pakistan,23,8,–,31
39,Saeed Anwar,1989–2003,Pakistan,11,20,–,31
43,Allan Border^,1978–1994,Australia,27,3,–,30
43,Gordon Greenidge^,1974–1991,West Indies,19,11,–,30
45,Mohammad Azharuddin,1984–2000,India,22,7,–,29
45,Don Bradman^,1928–1948,Australia,29,–,–,29
47,Quinton de Kock ǂ,2012–2024,South Africa,6,21,1,28
47,Graham Gooch^,1975–1995,England,20,8,–,28
49,Nathan Astle,1995–2007,New Zealand,11,16,0,27
49,Marvan Atapattu,1990–2007,Sri Lanka,16,11,0,27
49,Greg Chappell^,1970–1984,Australia,24,3,–,27
49,Andrew Strauss,2003–2012,England,21,6,0,27
53,Ian Bell,2004–2015,England,22,4,0,26
53,David Boon,1984–1996,Australia,21,5,–,26
53,Garfield Sobers^,1954–1974,West Indies,26,0,–,26
53,Marcus Trescothick,2000–2006,England,14,12,0,26
57,David Gower^,1978–1992,England,18,7,–,25
57,Tamim Iqbal,2007–2023,Bangladesh,10,14,1,25
59,Shikhar Dhawan,2010–2022,India,7,17,0,24
60,Jonny Bairstow ǂ,2011–2024,England,12,11,0,23
60,Geoffrey Boycott^,1964–1982,England,22,1,–,23
60,Faf du Plessis,2011–2021,South Africa,10,12,1,23
60,Martin Guptill,2009–2022,New Zealand,3,18,2,23
